horizon,beta,se,tstat,pval,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs
-5,0.0022717593134983383,0.005695186368674101,0.3988911277766012,0.6899734268269168,-0.007096822262970558,0.011640340889967234,-0.0088908059691029,0.013434324596099577,2174
-4,0.001403093234718866,0.0021609099138303004,0.649306676663733,0.5161401710526035,-0.002151603573531978,0.00495779004296971,-0.002832290196388523,0.005638476665826255,2175
-3,-7.527875445775822e-05,0.0019064372379741276,-0.03948661564004754,0.9685024243673335,-0.0032113680109251983,0.003060810502009682,-0.0038118957408870484,0.003661338231971532,2176
-2,0.001041069010499117,0.0013210217173417168,0.7880786491489733,0.43065070307453546,-0.0011320117145280073,0.003214149735526241,-0.0015481335554906478,0.003630271576488882,2177
-1,-0.001068928832144605,0.0013212484932759087,-0.8090293669847817,0.4184982544890923,-0.003242382603583475,0.001104524939294265,-0.0036585758789653864,0.0015207182146761763,2177
0,0.002879527704566828,0.001569800996674358,1.8343265870432885,0.06660552983967967,0.00029720506503750884,0.005461850344096146,-0.00019728224891491387,0.0059563376580485695,2178
1,0.003548772277817479,0.002655045755148775,1.3366143581275585,0.18134854982257909,-0.0008187779894022564,0.007916322545037215,-0.00165511740227412,0.008752661957909079,2177
2,0.002145015478015558,0.0030254415158927316,0.7089925443105509,0.4783291035612457,-0.0028318358156279857,0.007121866771659101,-0.003784849893134196,0.00807488084916531,2176
3,-0.00036089869594678383,0.0038386442176623035,-0.09401722990795108,0.9250954698733251,-0.006675468434001273,0.005953671042107705,-0.0078846413625649,0.007162843970671331,2175
4,0.0024258166826625614,0.007801787637083199,0.31093087834539995,0.7558531696269416,-0.010408123980339301,0.015259757345664423,-0.012865687086020509,0.017717320451345633,2174
5,-0.0009778424092205195,0.008578027774088684,-0.11399384974880242,0.9092426688532134,-0.015088698097596406,0.013133013279155366,-0.017790776846434337,0.0158350920279933,2173
6,0.00010975342072371344,0.008100128571484478,0.013549589954669001,0.9891893221621969,-0.013214958079368252,0.013434464920815679,-0.015766498579385863,0.01598600542083329,2172
7,-0.0008921022673586796,0.008852613191774956,-0.10077276031754555,0.9197308508574686,-0.015454650967828481,0.013670446433111123,-0.018243224123237593,0.016459019588520234,2171
8,0.00027291266886346303,0.009366290155886884,0.0291377551112841,0.9767547243472776,-0.015134634637570463,0.01568045997529739,-0.018085016036674832,0.018630841374401755,2170
9,0.0034492746674052426,0.008523426070645084,0.40468171352886373,0.6857114855106259,-0.01057176121880592,0.017470310553616406,-0.01325664043105912,0.020155189765869608,2169
10,0.002388922673825053,0.008756465080153424,0.27281815800756853,0.7849930007936706,-0.01201546238302733,0.016793307730677436,-0.014773748883275657,0.019551594230925763,2168
11,0.003012855703456895,0.009032463331746449,0.3335585867110686,0.7387126730540213,-0.011845546477266013,0.017871257884179804,-0.014690772426766145,0.020716483833679935,2167
12,0.0026573967323266635,0.009978813534257622,0.266303877029441,0.790005187443936,-0.013757751531527123,0.01907254499618045,-0.016901077794818274,0.022215871259471602,2166
13,0.0027408584831015302,0.010482930675685313,0.261459182350488,0.7937384227509361,-0.01450356247840081,0.01998527944460387,-0.017805685641241683,0.023287402607444743,2165
14,0.003701781536475844,0.010812562959983604,0.3423593046510646,0.7320805102450838,-0.014084884532697184,0.021488447605648872,-0.01749084186509202,0.024894404938043707,2164
15,0.004508156864267003,0.011211155055069044,0.402113505889714,0.687600493542488,-0.013934193201321573,0.022950506929855577,-0.017465707043668323,0.026482020772202325,2163
