horizon,beta,se,tstat,pval,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs
-5,-0.0027301286969514814,0.031013016227594677,-0.08803170504010104,0.9298514769772158,-0.05374654039134472,0.04828628299744176,-0.06351564050303705,0.058055383109134086,2174
-4,0.11813859621592959,0.07707424987595708,1.5327894388341277,0.1253277436455359,-0.008648544830019811,0.244925737261879,-0.03292693354094628,0.26920412597280546,2175
-3,0.007685008663411366,0.07210707791998341,0.10657772974713178,0.9151239870239887,-0.11093113451496135,0.1263011518417841,-0.13364486405975612,0.14901488138657887,2176
-2,-0.006103506860276086,0.02765591821004408,-0.22069442113331872,0.8253303756571546,-0.051597492315798604,0.03939047859524643,-0.060309106551962484,0.04810209283141031,2177
-1,-0.03535420963003097,0.02819457184070851,-1.2539367446249023,0.20986499798728553,-0.08173428030799647,0.01102586104793453,-0.09061557043781965,0.01990715117775771,2177
0,0.10602210319472119,0.07755203861854713,1.3671091706074794,0.17159108923563138,-0.02155100033278884,0.23359520672223122,-0.04597989249763118,0.25802409888707356,2178
1,0.020286175104710345,0.05471027471701664,0.370792784529753,0.7107918759992269,-0.06971222680478202,0.1102845770142027,-0.08694596334064227,0.12751831355006296,2177
2,0.0014478091601792427,0.051163377758534974,0.02829776343172968,0.9774246644099109,-0.08271594725261079,0.08561156557296927,-0.0988324112465493,0.10172802956690778,2176
3,0.029210741028527477,0.05333279860208188,0.5477068857096732,0.5838931833532456,-0.058521712671897215,0.11694319472895218,-0.07532154423155299,0.13374302628860796,2175
4,0.11412976828535056,0.07597114463967297,1.502277855976264,0.13302536506884047,-0.010842764646911487,0.2391023012176126,-0.034773675208408475,0.2630332117791096,2174
5,0.03455173500599093,0.053981726894389605,0.6400635361960223,0.5221312937861042,-0.05424820573527997,0.12335167574726183,-0.0712524497070127,0.14035591971899455,2173
6,0.06767461761569288,0.05367783627170081,1.2607553194421743,0.20739701619248097,-0.02062542305125495,0.1559746582826407,-0.03753394147684071,0.17288317670822645,2172
7,-0.005785943871807119,0.0545101274516416,-0.10614438348066772,0.9154677971007462,-0.09545510352975754,0.08388321578614331,-0.11262579367702465,0.10105390593341042,2171
8,0.08602097278500145,0.06679813848980294,1.287774999869689,0.19782429724389972,-0.02386196503072438,0.1959039106007273,-0.044903378655012316,0.21694532422501522,2170
9,0.04025694982691937,0.047623997156288046,0.845308084804554,0.3979388482319237,-0.03808452549517446,0.1185984251490132,-0.05308608459940519,0.13359998425324393,2169
10,0.028908789446717813,0.04840711843759912,0.5972012046943818,0.5503730549875253,-0.050720920383132743,0.10853849927656836,-0.06596916269097647,0.12378674158441208,2168
11,0.0172700262352791,0.0545308945439333,0.3167016858923037,0.7514699694403322,-0.07243329528949118,0.10697334776004937,-0.08961052707083017,0.12415057954138836,2167
12,0.031248113131063345,0.04796814588262909,0.6514346668208278,0.5147659384347818,-0.04765948684586151,0.1101557131079882,-0.06276945279888967,0.12526567906101635,2166
13,-0.00441472585883253,0.04352163095651176,-0.10143750962007533,0.919203161651218,-0.07600780878229436,0.06717835706462931,-0.08971712253359557,0.08088767081593051,2165
14,0.022861071892135456,0.05026840384938357,0.45478014302250014,0.6492674172168867,-0.059830452440100504,0.10555259622437142,-0.07566499965265633,0.12138714343692725,2164
15,-0.050499907783098714,0.029330315317726428,-1.7217649123798533,0.08511211308868996,-0.09874827648075868,-0.002251539085438743,-0.10798732580584251,0.006987510239645084,2163
