horizon,beta,se,tstat,pval,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs
-5,0.0063208314168176506,0.00633065713513858,0.9984479149460818,0.31806220905243965,-0.004093099570485313,0.016734762404120612,-0.006087256568053966,0.01872891940168927,2174
-4,0.0014739259983553275,0.003041629731248472,0.4845842947985446,0.6279712564169602,-0.0035295549095484095,0.006477406906259064,-0.004487668274891678,0.007435520271602333,2175
-3,0.0008526306328842381,0.0023939470526247427,0.3561610236740228,0.7217199791582878,-0.0030854122686834635,0.00479067353445194,-0.0038395055902602573,0.005544766856028734,2176
-2,0.002177299825553662,0.0013303767455700285,1.636603941555481,0.1017132515212325,-1.1169920909034903e-05,0.004365769572016359,-0.00043023859576359373,0.004784838246870917,2177
-1,-0.0025983933819003595,0.0012124299262178467,-2.143128708482148,0.032102764815575384,-0.004592840610528717,-0.0006039461532720016,-0.0049747560372873385,-0.00022203072651338007,2177
0,0.00024003778313265445,0.0012350541047385425,0.1943540628800791,0.845898656527129,-0.001791626219162248,0.002271701785427557,-0.0021806682621548887,0.0026607438284201976,2178
1,0.0010582544595637428,0.003898475121361475,0.27145343412994916,0.7860423096868221,-0.005354737115075884,0.007471246034203369,-0.006582756778304748,0.008699265697432235,2177
2,-0.0009057345771578545,0.00422288970587128,-0.21448217695540794,0.8301710643064317,-0.00785238814331611,0.006040918989000402,-0.009182598400665563,0.007371129246349854,2176
3,-0.004906081526587538,0.00503169228838191,-0.9750360803890163,0.3295423630512839,-0.01318321534097578,0.0033710522878007054,-0.014768198411816081,0.004956035358641006,2175
4,-0.010521228787432531,0.006145512231691381,-1.7120181997484782,0.08689331454378092,-0.020630596408564853,-0.0004118611663002092,-0.02256643276154764,0.001523975186682576,2174
5,-0.014359578158205608,0.007839279187830223,-1.8317472581532195,0.06698908431009908,-0.027255192422186325,-0.0014639638942248907,-0.029724565366352845,0.0010054090499416295,2173
6,-0.012712224731009303,0.00821027865096418,-1.548330485654885,0.12154274823415549,-0.026218133111845378,0.0007936836498267739,-0.028804370886899095,0.0033799214248804894,2172
7,-0.015255760571968003,0.008545954913403013,-1.7851440507884841,0.07423795434991398,-0.029313856404515958,-0.001197664739420047,-0.032005832202237905,0.0014943110583019014,2171
8,-0.013732410637075391,0.010064531089306097,-1.3644362082269823,0.17243031858334879,-0.030288564278983923,0.002823743004833139,-0.03345889157211534,0.005994070297964558,2170
9,-0.009904746421110777,0.00999100208132445,-0.991366665774707,0.3215065710707594,-0.026339944844889496,0.006530452002667941,-0.0294871105005067,0.009677617658285145,2169
10,-0.011933432988327407,0.010340618112530441,-1.154034783845933,0.2484859085666008,-0.02894374978343998,0.005076883806785167,-0.03220104448888707,0.008334178512232258,2168
11,-0.01178867120052721,0.010832800123555603,-1.0882385963065166,0.27648979000488605,-0.029608627403776178,0.006031285002721758,-0.03302095944269619,0.009443617041641771,2167
12,-0.012678201192504318,0.012353792619244613,-1.0262598364128555,0.30476912343512275,-0.033000190051161706,0.007643787666153069,-0.036891634726223754,0.011535232341215122,2166
13,-0.013052132470006634,0.01284647201849457,-1.0160090997136009,0.309625053294452,-0.0341845789404302,0.008080314000416934,-0.03823121762625599,0.012126952686242724,2165
14,-0.01232502019681081,0.01349566767151428,-0.9132575354404739,0.3611071103194302,-0.0345253935164518,0.00987535312283018,-0.0387765288329788,0.014126488439357179,2164
15,-0.012192485506332382,0.0136020728576489,-0.8963696661480636,0.37005536260136673,-0.03456789535716483,0.01018292434450006,-0.03885254830732422,0.014467577294659462,2163
