horizon,beta,theta,beta_se,theta_se,irf_normal,se_normal,ci95lo_normal,ci95hi_normal,irf_fragile,se_fragile,ci95lo_fragile,ci95hi_fragile,nobs,label
-5,-0.0011728302605659596,0.0077109909143994355,0.004445695763720673,0.010748472440006426,-0.0011728302605659596,0.004445695763720673,-0.009886393957458477,0.007540733436326559,0.006538160653833476,0.0098524064201737,-0.012772555929706978,0.025848877237373932,2174,full
-4,8.400205055112981e-05,0.0035809879923488336,0.0032250526600674997,0.003980843455735536,8.400205055112981e-05,0.0032250526600674997,-0.006237101163181169,0.006405105264283429,0.0036649900428999634,0.0024987455604127086,-0.0012325512555089453,0.008562531341308872,2175,full
-3,-0.0018175409922991832,0.004337242201430835,0.002358753354711582,0.003581743075822798,-0.0018175409922991832,0.002358753354711582,-0.006440697567533884,0.0028056155829355176,0.002519701209131652,0.0027665341334767637,-0.002902705692482805,0.00794210811074611,2176,full
-2,0.0002028603255437145,0.0026315511267759016,0.0013464316697044936,0.0025604644088090553,0.0002028603255437145,0.0013464316697044936,-0.002436145747077093,0.002841866398164522,0.002834411452319616,0.002192248741876999,-0.001462396081759302,0.007131218986398534,2177,full
-1,-0.000915643614933419,-0.0017148555840750927,0.0014002899151713771,0.0023705286767589768,-0.000915643614933419,0.0014002899151713771,-0.0036602118486693184,0.0018289246188024802,-0.0026304991990085116,0.0019447068726216005,-0.006442124669346848,0.0011811262713298252,2177,full
0,0.0013939870671309158,0.0025964891040376236,0.0019291382067066346,0.0027786389366254447,0.0013939870671309158,0.0019291382067066346,-0.0023871238180140876,0.00517509795227592,0.003990476171168539,0.0019446215232557726,0.00017901798558722475,0.007801934356749854,2178,full
1,0.0022700398760468993,0.0022915336074374503,0.004059145860615125,0.005375806568204847,0.0022700398760468993,0.004059145860615125,-0.005685886010758746,0.010225965762852545,0.004561573483484349,0.0031545595456296807,-0.0016213632259498246,0.010744510192918524,2177,full
2,0.0025146226913775743,-0.0008260450060162405,0.005042933251451634,0.006425542271658531,0.0025146226913775743,0.005042933251451634,-0.007369526481467629,0.012398771864222778,0.0016885776853613338,0.0037390791707134267,-0.005640017489236982,0.009017172859959649,2176,full
3,0.0018742364919715816,-0.004446456371360697,0.005424047388907916,0.007923050826218948,0.0018742364919715816,0.005424047388907916,-0.008756896390287934,0.012505369374231096,-0.0025722198793891155,0.005861385486288769,-0.014060535432515103,0.00891609567373687,2175,full
4,-0.0030775499137646566,0.010543299680086245,0.006039425350672937,0.012723155253245022,-0.0030775499137646566,0.006039425350672937,-0.014914823601083612,0.0087597237735543,0.0074657497663215885,0.011845347663125196,-0.015751131653403798,0.03068263118604697,2174,full
5,-0.004917007771017534,0.007653149047189132,0.00653644187912028,0.014282146271227853,-0.004917007771017534,0.00653644187912028,-0.017728433854093284,0.007894418312058215,0.002736141276171598,0.013526716986641867,-0.023776224017646463,0.029248506569989657,2173,full
6,-0.006880834506228461,0.013520980335345736,0.007126102510802246,0.012562651639343392,-0.006880834506228461,0.007126102510802246,-0.020847995427400862,0.007086326414943941,0.006640145829117275,0.011120516975819844,-0.015156067443489619,0.02843635910172417,2172,full
7,-0.0072447070546076756,0.012199448349621618,0.007541165199611418,0.014137938750901462,-0.0072447070546076756,0.007541165199611418,-0.022025390845846055,0.007535976736630704,0.0049547412950139424,0.012856384675949996,-0.02024377266984805,0.030153255259875934,2171,full
8,-0.0035012135751074304,0.0072749958963982874,0.009774623291931551,0.016369146906440778,-0.0035012135751074304,0.009774623291931551,-0.02265947522729327,0.01565704807707841,0.003773782321290857,0.013988763897337681,-0.023644194917490997,0.031191759560072713,2170,full
9,-0.0009225412431755468,0.008437498116266713,0.00975829713423547,0.014934754053445413,-0.0009225412431755468,0.00975829713423547,-0.02004880362627707,0.018203721139925973,0.007514956873091167,0.01186633760877532,-0.015743064840108456,0.030772978586290793,2169,full
10,-0.001537747557080367,0.007704587138549931,0.010171472004147492,0.015623163703652635,-0.001537747557080367,0.010171472004147492,-0.02147383268520945,0.018398337571048716,0.006166839581469564,0.012408757228058521,-0.018154324585525138,0.030488003748464266,2168,full
11,-0.001272729618556452,0.008467935869979334,0.011595580523441201,0.016713207974511885,-0.001272729618556452,0.011595580523441201,-0.024000067444501207,0.0214546082073883,0.0071952062514228825,0.012278022525839928,-0.01686971789922338,0.031260130402069146,2167,full
12,-0.002770008154583879,0.010742329768477173,0.014484626819227393,0.019418481469624323,-0.002770008154583879,0.014484626819227393,-0.03115987672026957,0.025619860411101814,0.007972321613893293,0.012714841113091298,-0.01694876696776565,0.03289341019555224,2166,full
13,-0.00248853816100289,0.010280620845579371,0.015518194099996158,0.0207040290528371,-0.00248853816100289,0.015518194099996158,-0.03290419859699536,0.02792712227498958,0.007792082684576481,0.013359907748277042,-0.01839333650204652,0.03397750187119948,2165,full
14,-0.004344298955369023,0.01581618971744487,0.017371070980366544,0.021735213171105865,-0.004344298955369023,0.017371070980366544,-0.03839159807688745,0.0297030001661494,0.011471890762075845,0.012304432919115567,-0.012644797759390664,0.03558857928354235,2164,full
15,-0.005026380606896308,0.01873268917492092,0.017721712837767436,0.02233382096227237,-0.005026380606896308,0.017721712837767436,-0.03976093776892048,0.029708176555127863,0.01370630856802461,0.0128670607052611,-0.011513130414287146,0.03892574755033637,2163,full
