horizon,beta,theta,beta_se,theta_se,irf_normal,se_normal,ci95lo_normal,ci95hi_normal,irf_fragile,se_fragile,ci95lo_fragile,ci95hi_fragile,nobs,label
-5,-0.07127313777745625,0.1252820276998285,0.1175475497679576,0.18653271320019432,-0.07127313777745625,0.1175475497679576,-0.30166633532265313,0.15912005976774063,0.05400888992237224,0.13902567371062982,-0.2184814305504622,0.3264992103952067,2174,full
-4,0.18985663248475337,0.19380841270856136,0.15256537936434797,0.2537845586716555,0.18985663248475337,0.15256537936434797,-0.10917151106936862,0.48888477603887537,0.38366504519331474,0.21357119103914132,-0.034934489243402256,0.8022645796300317,2175,full
-3,-0.24187860008667447,0.6276569223773741,0.11026992808465554,0.35161386204722744,-0.24187860008667447,0.11026992808465554,-0.45800765913259933,-0.025749541040749613,0.38577832229069964,0.32640572737949236,-0.2539769033731054,1.0255335479545047,2176,full
-2,-0.039103000457868846,0.09267201386240628,0.10412376754692193,0.21235972807360992,-0.039103000457868846,0.10412376754692193,-0.24318558484983582,0.16497958393409812,0.05356901340453744,0.19248610748087247,-0.32370375725797257,0.4308417840670475,2177,full
-1,-0.05982510470535856,-0.2056044048187293,0.11135697279397817,0.1855628003239373,-0.05982510470535856,0.11135697279397817,-0.2780847713815558,0.15843456197083866,-0.26542950952408784,0.1495837374207468,-0.5586136348687516,0.027754615820575868,2177,full
0,-0.2042881236482613,1.2167719932089693,0.16117026701748455,0.4508314209352259,-0.2042881236482613,0.16117026701748455,-0.520181847002531,0.11160559970600839,1.0124838695607081,0.42376349235695104,0.1819074245410841,1.8430603145803321,2178,full
1,0.10544266979475465,0.5821097962811712,0.19374476975743948,0.5668827823801241,0.10544266979475465,0.19374476975743948,-0.27429707892982674,0.485182418519336,0.6875524660759259,0.5276940557581871,-0.3467278832101207,1.7218328153619726,2177,full
2,-0.060617582458625446,0.21859352725778133,0.13709272963491448,0.1905125651326666,-0.060617582458625446,0.13709272963491448,-0.3293193325430578,0.20808416762580692,0.1579759447991559,0.13091580548728393,-0.09861903395592059,0.41457092355423236,2176,full
3,-0.04288034836643159,0.6215283851381395,0.12747254937451605,0.4801779426788326,-0.04288034836643159,0.12747254937451605,-0.292726545140483,0.20696584840761986,0.5786480367717078,0.4537174486761252,-0.3106381626334975,1.4679342361769132,2175,full
4,-0.2582765940045289,1.5205186720100454,0.13825852016661527,0.6800208419337453,-0.2582765940045289,0.13825852016661527,-0.5292632935310948,0.012710105522037052,1.2622420780055166,0.6821028234711136,-0.07467945599786607,2.5991636120088994,2174,full
5,-0.21319960417639075,0.6684669573744096,0.14029025323489822,0.2212156206249093,-0.21319960417639075,0.14029025323489822,-0.4881685005167913,0.061769292164009754,0.4552673531980189,0.16886007967799044,0.12430159702915766,0.7862331093668802,2173,full
6,-0.1185747551379503,1.1768431420852512,0.15529237586247488,0.5318738844858757,-0.1185747551379503,0.15529237586247488,-0.4229478118284011,0.1857983015525005,1.0582683869473009,0.4990611022545149,0.08010862652845174,2.03642814736615,2172,full
7,-0.199450919721603,0.5981806725489436,0.1711555473193971,0.31685227806294586,-0.199450919721603,0.1711555473193971,-0.5349157924676213,0.13601395302441532,0.3987297528273406,0.26146025378549975,-0.11373234459223891,0.9111918502469201,2171,full
8,0.18340536046669464,0.03758255224363007,0.2680797781235825,0.3075960935028923,0.18340536046669464,0.2680797781235825,-0.34203100465552705,0.7088417255889163,0.22098791271032472,0.1329124385091425,-0.03952046676759455,0.48149629218824397,2170,full
9,-0.019897736438269885,1.1490029953794765,0.18624600460709784,0.5538931738417158,-0.019897736438269885,0.18624600460709784,-0.38493990546818163,0.3451444325916419,1.1291052589412065,0.5105750377756687,0.1283781849008958,2.1298323329815174,2169,full
10,-0.08589357007520462,0.2954613588688,0.14254433028037272,0.18602152073144262,-0.08589357007520462,0.14254433028037272,-0.36528045742473514,0.19349331727432592,0.20956778879359536,0.10833028772800574,-0.00275957515329589,0.4218951527404866,2168,full
11,-0.0698562588192134,0.24545207522332976,0.13664524521721763,0.19190038553611688,-0.0698562588192134,0.13664524521721763,-0.3376809394449599,0.19796842180653315,0.17559581640411637,0.13071337284802567,-0.08060239437801392,0.43179402718624665,2167,full
12,-0.014530460957534816,0.25774839439245667,0.19710811423330046,0.23835071540536756,-0.014530460957534816,0.19710811423330046,-0.4008623648548037,0.3718014429397341,0.24321793343492185,0.1191731351188965,0.009638588601884712,0.476797278267959,2166,full
13,0.21157470954688687,-0.222056681343999,0.30248656129385515,0.3865110056096319,0.21157470954688687,0.30248656129385515,-0.38129895058906926,0.804448369682843,-0.010481971797112133,0.24655816775616266,-0.49373598059919094,0.47277203700496667,2165,full
14,0.048771765864111596,0.6034595030275016,0.22712871349746286,0.4243733433763558,0.048771765864111596,0.22712871349746286,-0.39640051259091563,0.4939440443191388,0.6522312688916132,0.3512144132967707,-0.03614898117005738,1.340611518953284,2164,full
15,0.06721690230832182,0.14325026191492182,0.25724802109182443,0.35303820084386744,0.06721690230832182,0.25724802109182443,-0.43698921903165405,0.5714230236482977,0.21046716422324363,0.2531823403252461,-0.28577022281423875,0.706704551260726,2163,full
