horizon,beta,theta,beta_se,theta_se,irf_normal,se_normal,ci95lo_normal,ci95hi_normal,irf_fragile,se_fragile,ci95lo_fragile,ci95hi_fragile,nobs,label
-5,0.004524828881346682,-0.03257980633039056,0.03953387652922421,0.06166126565097492,0.004524828881346682,0.03953387652922421,-0.07296156911593277,0.08201122687862614,-0.028054977449043877,0.047859115929295946,-0.12185884467046393,0.06574888977237617,2174,full
-4,0.08608829810189608,0.04254430860418064,0.0820175506731908,0.12959775351843963,0.08608829810189608,0.0820175506731908,-0.0746661012175579,0.24684269742135007,0.12863260670607674,0.10826186130128962,-0.08356064144445091,0.3408258548566044,2175,full
-3,-0.08433076652278135,0.15664911668227038,0.028369839684297744,0.11976861165906709,-0.08433076652278135,0.028369839684297744,-0.13993565230400493,-0.02872588074155777,0.07231835015948904,0.11686313153583171,-0.1567333876507411,0.3013700879697192,2176,full
-2,-0.01728415290726012,0.0069220893522468595,0.0411083321589345,0.057030408096359224,-0.01728415290726012,0.0411083321589345,-0.09785648393877175,0.0632881781242515,-0.010362063555013259,0.04014663448981321,-0.08904946715504715,0.06832534004502062,2177,full
-1,-0.013432598169638505,-0.08047493017934339,0.024829510791712476,0.05051723195759693,-0.013432598169638505,0.024829510791712476,-0.06209843932139496,0.03523324298211794,-0.09390752834898189,0.04278077676690566,-0.17775785081211698,-0.010057205885846798,2177,full
0,-0.05949123294165801,0.30613671356793815,0.031356450065539415,0.06179606509628068,-0.05949123294165801,0.031356450065539415,-0.12094987507011526,0.001967409186799246,0.24664548062628014,0.05289874899841353,0.1429639325893896,0.35032702866317067,2178,full
1,-0.01271750860350386,0.05145632065888289,0.04418394349339093,0.09662514155956464,-0.01271750860350386,0.04418394349339093,-0.09931803785055007,0.07388302064354235,0.03873881205537903,0.0855890578877152,-0.12901574140454275,0.20649336551530084,2177,full
2,-0.04677125111881332,0.08316198851377245,0.031390163081396624,0.08283599785913327,-0.04677125111881332,0.031390163081396624,-0.10829597075835071,0.01475346852072406,0.03639073739495913,0.07701462232544977,-0.11455792236292242,0.18733939715284068,2176,full
3,-0.031887168929244904,0.10828068771439789,0.03675466849607197,0.08965140101083184,-0.031887168929244904,0.03675466849607197,-0.10392631918154596,0.04015198132305616,0.07639351878515299,0.08205990213069965,-0.08444388939101832,0.2372309269613243,2175,full
4,-0.07833753128984314,0.36039909261242686,0.0325078019215351,0.060685083726024915,-0.07833753128984314,0.0325078019215351,-0.14205282305605194,-0.01462223952363434,0.28206156132258375,0.052392737964439794,0.17937179491228178,0.38475132773288573,2174,full
5,-0.04310688208301871,0.14050461453563837,0.03550549921366127,0.09067058117607987,-0.04310688208301871,0.03550549921366127,-0.11269766054179481,0.026483896375757383,0.09739773245261965,0.08460295375896713,-0.06842405691495593,0.26321952182019526,2173,full
6,-0.007344839616558287,0.13349085740629352,0.05185329841789983,0.09949439370133926,-0.007344839616558287,0.05185329841789983,-0.10897730451564196,0.09428762528252539,0.12614601778973522,0.08442022582759748,-0.039317624832355846,0.2916096604118263,2172,full
7,-0.09978198228141426,0.16997104413159247,0.031379831106606186,0.08537705934128341,-0.09978198228141426,0.031379831106606186,-0.1612864512503624,-0.038277513312466135,0.07018906185017822,0.0793513183924195,-0.085339522198964,0.22571764589932042,2171,full
8,0.07607363272419441,0.009211312840150648,0.11207616988043298,0.1388260452036043,0.07607363272419441,0.11207616988043298,-0.1435956602414542,0.29574292568984306,0.08528494556434506,0.08012069851718862,-0.07175162352934462,0.24232151465803475,2170,full
9,0.011520976592662213,0.0441507535711048,0.052364849955761954,0.08393857369224726,0.011520976592662213,0.052364849955761954,-0.09111412932063122,0.11415608250595564,0.055671730163767016,0.0660037710960177,-0.07369566118442768,0.18503912151196172,2169,full
10,-0.058615122364865054,0.15735600788278198,0.03438532594305905,0.08136021562013171,-0.058615122364865054,0.03438532594305905,-0.12601036121326079,0.008780116483530685,0.09874088551791693,0.0746658559214911,-0.0476041920882056,0.24508596312403946,2168,full
11,-0.03730844608675627,0.09471216338483339,0.035504036801205126,0.09067421963144415,-0.03730844608675627,0.035504036801205126,-0.10689635821711832,0.03227946604360577,0.05740371729807712,0.08446007081134674,-0.10813802149216248,0.2229454560883167,2167,full
12,-0.041780453267652895,0.13181820425422988,0.03851594532507774,0.08586887650135282,-0.041780453267652895,0.03851594532507774,-0.11727170610480527,0.033710799569499475,0.09003775098657699,0.07613691729677372,-0.0591906069150995,0.23926610888825348,2166,full
13,0.05360919466398905,-0.11978675270413806,0.0645933228312081,0.08428043823938391,0.05360919466398905,0.0645933228312081,-0.07299371808517882,0.18021210741315694,-0.06617755804014902,0.05383025629423583,-0.17168486037685124,0.0393297442965532,2165,full
14,-0.0310741865386966,0.09602079810277335,0.038578459427844734,0.08400187640692053,-0.0310741865386966,0.038578459427844734,-0.10668796701727229,0.04453959393987908,0.06494661156407674,0.07580883575664038,-0.0836387065189384,0.2135319296470919,2164,full
15,-0.01757066089440422,-0.07210586082306858,0.050255836308628114,0.06320239035052234,-0.01757066089440422,0.050255836308628114,-0.11607210005931533,0.08093077827050689,-0.0896765217174728,0.03733179889934661,-0.16284684756019216,-0.016506195874753438,2163,full
