horizon,beta,theta,beta_se,theta_se,irf_normal,se_normal,ci95lo_normal,ci95hi_normal,irf_fragile,se_fragile,ci95lo_fragile,ci95hi_fragile,nobs,label
-5,1.2661564325749055,-0.4701583430864214,0.9473853699718593,1.011092568609902,1.2661564325749055,0.9473853699718593,-0.5907188925699387,3.1230317577197497,0.7959980894884842,0.3413529413266465,0.12694632448825705,1.4650498544887114,2174,full
-4,1.013266799329587,-0.31887694965305097,0.75657745488789,0.8151617323491225,1.013266799329587,0.75657745488789,-0.4696250122506773,2.496158610909851,0.6943898496765359,0.29922590900147156,0.10790706803365169,1.2808726313194203,2175,full
-3,0.10293254550378705,0.10565097703607007,0.15993469674289754,0.2414565242593109,0.10293254550378705,0.15993469674289754,-0.21053946011229213,0.41640455111986624,0.20858352253985712,0.16865219761095046,-0.12197478477760576,0.5391418298573201,2176,full
-2,0.037334090252629654,0.21535248738881413,0.1278362827719837,0.1925627331626498,0.037334090252629654,0.1278362827719837,-0.21322502398045837,0.28789320448571765,0.25268657764144375,0.13722492401144326,-0.01627427342098503,0.5216474287038726,2177,full
-1,-0.013754625941154877,-0.2560228587482342,0.14188165281100454,0.1980107645391773,-0.013754625941154877,0.14188165281100454,-0.2918426654507238,0.264333413568414,-0.2697774846893891,0.12979358881141195,-0.5241729187597566,-0.015382050619021703,2177,full
0,-0.04839347187741608,0.8395492131262432,0.2736907954495973,0.6781762809119471,-0.04839347187741608,0.2736907954495973,-0.5848274309586268,0.48804048720379467,0.7911557412488271,0.616907524188973,-0.4179830061615598,2.000294488659214,2178,full
1,0.49880669005731665,0.08993708222863589,0.5143922190948925,0.7794643559358151,0.49880669005731665,0.5143922190948925,-0.5094020593686726,1.507015439483306,0.5887437722859525,0.526020911103853,-0.4422572134775993,1.6197447580495044,2177,full
2,0.35794610475070066,0.10483925965420804,0.5499316863477458,0.7436929415706341,0.35794610475070066,0.5499316863477458,-0.719920000490881,1.4358122099922823,0.4627853644049087,0.39927693250676616,-0.3197974233083529,1.2453681521181703,2176,full
3,0.10675680724671949,0.3842943139903822,0.5029770096048398,0.7064236360591066,0.10675680724671949,0.5029770096048398,-0.8790781315787666,1.0925917460722054,0.4910511212371017,0.3854799532090663,-0.26448958705266823,1.2465918295268716,2175,full
4,-0.07152343132172448,1.961666458034007,0.5208137735927378,0.6740694868944019,-0.07152343132172448,0.5208137735927378,-1.0923184275634907,0.9492715649200417,1.8901430267122825,0.4280977269331529,1.051071481923303,2.729214571501262,2174,full
5,-0.10297061421250393,1.822283786033953,0.5984974194002192,0.7325377972229493,-0.10297061421250393,0.5984974194002192,-1.2760255562369336,1.0700843278119256,1.719313171821449,0.4066379883058923,0.9223027147419001,2.516323628900998,2173,full
6,0.07245647537704691,1.8179415532619738,0.6876068045268258,0.7674404860927522,0.07245647537704691,0.6876068045268258,-1.2752528614955316,1.4201658122496255,1.8903980286390207,0.2186489160250923,1.46184615322984,2.3189499040482016,2172,full
7,-0.23849306077617727,2.2393041012445973,0.7460246511390346,0.8229592852487805,-0.23849306077617727,0.7460246511390346,-1.700701377008685,1.2237152554563304,2.0008110404684203,0.22015437582411052,1.5693084638531638,2.4323136170836768,2171,full
8,-0.29309051656973334,2.477998964095393,0.7555521245329637,0.8514966580862185,-0.29309051656973334,0.7555521245329637,-1.773972680654342,1.1877916475148755,2.1849084475256597,0.27068827974721277,1.6543594192211226,2.715457475830197,2170,full
9,-0.1682339841076718,2.244273073867095,0.7179434952492154,0.832193741003695,-0.1682339841076718,0.7179434952492154,-1.575403234796134,1.2389352665807902,2.076039089759423,0.2772100955140096,1.5327073025519644,2.619370876966882,2169,full
10,-0.268708874187114,2.1534352979856806,0.742482556653441,0.8815520534471032,-0.268708874187114,0.742482556653441,-1.7239746852278583,1.1865569368536304,1.8847264237985666,0.37386489844121845,1.1519512228537785,2.6175016247433547,2168,full
11,-0.30440812399631484,2.173508647249524,0.7654433323738866,0.8913157604813629,-0.30440812399631484,0.7654433323738866,-1.8046770554491325,1.195860807456503,1.8691005232532094,0.35640340752473376,1.1705498445047313,2.5676512020016875,2167,full
12,-0.25437578048635295,1.8839866425480518,0.7492239852129425,0.8726821692371574,-0.25437578048635295,0.7492239852129425,-1.7228547915037202,1.2141032305310144,1.629610862061699,0.35708796989708846,0.9297184410634055,2.329503283059992,2166,full
13,0.1902366848689757,1.4295628299541532,0.8517892935123337,0.9657125507527249,0.1902366848689757,0.8517892935123337,-1.4792703304151984,1.8597437001531496,1.6197995148231288,0.39326483928272576,0.8490004298289863,2.390598599817271,2165,full
14,0.08076933842455869,1.6007834871156739,0.9409658444257756,1.0562937818762914,0.08076933842455869,0.9409658444257756,-1.7635237166499613,1.9250623934990787,1.6815528255402326,0.43178254846256137,0.8352590305536123,2.527846620526853,2164,full
15,-0.03516976955615664,1.6800179131183572,0.997665144961879,1.1067591383892486,-0.03516976955615664,0.997665144961879,-1.9905934536814394,1.9202539145691262,1.6448481435622007,0.42706959340001677,0.8077917404981678,2.4819045466262333,2163,full
