horizon,beta,theta,beta_se,theta_se,cov_bt,nobs,label,irf_0.0,se_0.0,ci90lo_0.0,ci90hi_0.0,ci95lo_0.0,ci95hi_0.0,irf_0.5,se_0.5,ci90lo_0.5,ci90hi_0.5,ci95lo_0.5,ci95hi_0.5,irf_0.9,se_0.9,ci90lo_0.9,ci90hi_0.9,ci95lo_0.9,ci95hi_0.9
-5,-0.0023256780377167645,0.05103760664607698,0.004956817246583512,0.028997944610620167,-2.9022694850715615e-05,2174,full,-0.0023256780377167645,0.004956817246583512,-0.010479642408346642,0.005828286332913112,-0.012041039841020448,0.007389683765586918,0.023193125285321727,0.01434459969031764,-0.0004037412052507912,0.04678999177589424,-0.0049222901077008475,0.0513085406783443,0.043608167943752524,0.02556252389169782,0.0015578161419096126,0.08565851974559544,-0.006494378883975201,0.09371071477148024
-4,-0.002166697867633777,0.038619337473562054,0.002019914164581068,0.026181216893259637,-2.8814387640972207e-05,2175,full,-0.002166697867633777,0.002019914164581068,-0.005489456668369634,0.0011560609331020804,-0.00612572963021267,0.0017923338949451164,0.01714297086914725,0.012109074906625978,-0.0027764573522524837,0.03706239909054698,-0.006590815947839664,0.04087675768613416,0.03259070585857207,0.022526287112353143,-0.004465036441248849,0.06964644815839299,-0.011560816881640089,0.07674222859878424
-3,-0.004347762350093418,0.051424238801553335,0.001598730011145243,0.015520628849776395,-1.0818573117749902e-05,2176,full,-0.004347762350093418,0.001598730011145243,-0.006977673218427342,-0.0017178514817594928,-0.007481273171938094,-0.0012142515282487416,0.02136435705068325,0.007208317730505114,0.009506674384002337,0.03322203971736416,0.007236054298893227,0.03549265980247327,0.041934052571304586,0.01334928242077157,0.019974482989135355,0.06389362215347381,0.01576945902659231,0.06809864611601686
-2,-0.0023034366046636437,0.040463910306157924,0.0011997030674449835,0.009826073649279173,-4.838675800818474e-06,2177,full,-0.0023034366046636437,0.0011997030674449835,-0.004276948150610641,-0.0003299250587166457,-0.004654854616855811,4.798140752852384e-05,0.017928518548415318,0.004553958990755523,0.010437256008622482,0.02541978108820815,0.009002758926534493,0.02685427817029614,0.03411408267087849,0.008422384871936278,0.020259259556543313,0.047968905785213664,0.017606208321883383,0.0506219570198736
-1,0.002217632458088154,-0.03876637382173957,0.0012871195434882457,0.009094017601935388,-4.3782388924576865e-06,2177,full,0.002217632458088154,0.0012871195434882457,0.00010032080904998986,0.0043349441071263185,-0.0003051218471488075,0.004740386763325116,-0.01716555445278163,0.004237183836329192,-0.024135721863543153,-0.01019538704202011,-0.02547043477198685,-0.008860674133576414,-0.03267210398147746,0.007795112775944758,-0.04549506449790659,-0.019849143465048336,-0.04795052502232919,-0.017393682940625738
0,0.0038084261065260885,-0.01130877085600354,0.0016884684354142698,0.010051930861223765,-6.163428109932336e-06,2178,full,0.0038084261065260885,0.0016884684354142698,0.0010308955302696147,0.006585956682782562,0.0004990279731141196,0.007117824239938057,-0.0018459593214756815,0.004684850697425016,-0.009552538718739834,0.0058606200757884705,-0.011028266688428712,0.00733634804547735,-0.006369467663877098,0.008579057024577848,-0.020482016469307657,0.007743081141553462,-0.02318441943204968,0.010445484104295485
1,0.0028273747178245824,0.015683715850346724,0.003375996105017488,0.053114363169048356,-0.00012801706357254674,2177,full,0.0028273747178245824,0.003375996105017488,-0.002726138874929185,0.00838088831057835,-0.0037895776480096934,0.009444327083658858,0.010669232642997944,0.024262402598298805,-0.02924241963120359,0.050580884917199476,-0.03688507644966771,0.0582235417356636,0.016942718983136634,0.045454223686054666,-0.05782947898042329,0.09171491694669656,-0.0721475594415305,0.10603299740780378
2,0.0003785335887308214,0.032399562155293715,0.004251746083803561,0.06807136983111231,-0.00022055961642502238,2176,full,0.0003785335887308214,0.004251746083803561,-0.006615588719126037,0.00737265589658768,-0.007954888735524157,0.0087119559129858,0.01657831466637768,0.030918369556092916,-0.03428240325339517,0.06743903258615053,-0.044021689663564435,0.0771783189963198,0.029538139528495166,0.05808938166007789,-0.06601889330233296,0.1250951723593233,-0.0843170485252575,0.14339332758224782
3,0.0006681827719568047,-0.007727927408688988,0.005537314479061811,0.0898916570281788,-0.00038932132336024866,2175,full,0.0006681827719568047,0.005537314479061811,-0.008440699546099873,0.009777065090013484,-0.010184953607004343,0.011521319150917954,-0.0031957809323876893,0.04076110927216912,-0.07024780568510589,0.0638562438203305,-0.08308755510583916,0.07669599324106378,-0.006286951895863284,0.07664917854903393,-0.1323748506090241,0.11980094681729753,-0.15651934185196978,0.1439454380602432
4,0.0003295310259186661,0.04070980025563615,0.008800099870489256,0.10183216248781213,-0.0004740060955010655,2174,full,0.0003295310259186661,0.008800099870489256,-0.01414663326103616,0.014805695312873492,-0.016918664720240274,0.01757772677207761,0.020684431153736742,0.046860249588169735,-0.05640067941880247,0.09776954172627594,-0.07116165803907593,0.11253052034654942,0.0369683512559912,0.08731414623389182,-0.10666341929876084,0.18060012181074325,-0.13416737536243678,0.20810407787441915
5,-0.0027994619480353968,0.0377488722043086,0.009685773655697344,0.1044285252364027,-0.0005217028018929694,2173,full,-0.0027994619480353968,0.009685773655697344,-0.018732559611657526,0.013133635715586733,-0.021783578313202188,0.016184654417131395,0.016074974154118904,0.04794205492236362,-0.06278970619316926,0.09493965450140707,-0.07789145349371379,0.1100414018019516,0.031174523035842346,0.08937592429268942,-0.11584887242563177,0.17819791849731645,-0.14400228857782893,0.2063513346495136
6,-0.0016151639286536013,0.03741263317369886,0.009146830686544863,0.09934735876098205,-0.0004788106092180039,2172,full,-0.0016151639286536013,0.009146830686544863,-0.0166617004080199,0.013431372550712698,-0.01954295207428153,0.01631262421697433,0.01709115265819583,0.045522833013622234,-0.057793907649212745,0.0919762129656044,-0.07213360004850375,0.10631590536489541,0.03205620592767538,0.08494952940523195,-0.10768576994393117,0.17179818179928194,-0.13444487170657923,0.19855728356193
7,-0.00255926803939699,0.037940735419439264,0.009941292668962947,0.10634281836311672,-0.0005468593172491128,2171,full,-0.00255926803939699,0.009941292668962947,-0.018912694479841036,0.013794158401047057,-0.022044201670564364,0.016925665591770386,0.016411099670322643,0.04877672331177622,-0.06382661017754923,0.09664880951819452,-0.07919127802075875,0.11201347736140403,0.03158739383809835,0.09096486405741698,-0.11804980753635258,0.1812245952125493,-0.14670373971443892,0.20987852739063564
