horizon,beta,theta,beta_se,theta_se,cov_bt,nobs,label,irf_0.0,se_0.0,ci90lo_0.0,ci90hi_0.0,ci95lo_0.0,ci95hi_0.0,irf_0.5,se_0.5,ci90lo_0.5,ci90hi_0.5,ci95lo_0.5,ci95hi_0.5,irf_0.9,se_0.9,ci90lo_0.9,ci90hi_0.9,ci95lo_0.9,ci95hi_0.9
-5,0.025064750696216234,-0.26217196316080743,0.04180823308420461,0.321887459877198,-0.0041551177148281895,1956,no_covid,0.025064750696216234,0.04180823308420461,-0.04370979272730034,0.09383929411973281,-0.056879386148824804,0.10700888754125727,-0.10602123088418748,0.15328305465818354,-0.35817185579689936,0.14612939402852443,-0.4064560180142272,0.19441355624585227,-0.21089001614851044,0.27963201049978204,-0.670884673420652,0.249104641123631,-0.7589687567280832,0.3371887244310623
-4,0.053033580083426325,-0.3718022571048675,0.05865440187318823,0.27492263661945804,-0.006946944826039241,1957,no_covid,0.053033580083426325,0.05865440187318823,-0.04345291099796832,0.14952007116482097,-0.06192904758802261,0.16799620775487525,-0.13286754846900742,0.12405244078417349,-0.3369338135589728,0.07119871662095797,-0.37601033240598747,0.1102752354679726,-0.2815884513109544,0.22838044494685714,-0.6572742832485343,0.09409738062662559,-0.7292141234067944,0.1660372207848856
-3,0.03867273605130963,0.017730443906010716,0.08231786725763858,0.36625856183367234,0.005365367416358738,1958,no_covid,0.03867273605130963,0.08231786725763858,-0.09674015558750582,0.1740856276901251,-0.12267028377366199,0.20001575587628126,0.047537958004314984,0.2137239626605366,-0.30403796057226773,0.3991138765808977,-0.37136100881033673,0.4664369248189667,0.05463013556671928,0.35368292756879377,-0.5271782802839465,0.636438551417385,-0.6385884024681165,0.747848673601555
-2,0.008658654591212416,0.13296930656176542,0.036497096548918175,0.49084718220028406,-0.007240294689780676,1959,no_covid,0.008658654591212416,0.036497096548918175,-0.05137906923175798,0.06869637841418282,-0.06287565464466721,0.08019296382709204,0.07514330787209512,0.23307613012749737,-0.30826692618763807,0.4585535419318283,-0.3816859071777997,0.5319725229219899,0.1283310304968013,0.428314816690717,-0.5762468429594282,0.8329089039530307,-0.7111660102170041,0.9678280712106067
-1,-0.0008508889410992935,0.0012487866993981368,0.0009353869872099408,0.003712157912192142,-1.6423994797003676e-06,1959,no_covid,-0.0008508889410992935,0.0009353869872099408,-0.0023896005350596463,0.0006878226528610591,-0.0026842474360307773,0.0009824695538321905,-0.00022649559140022508,0.001636330781780995,-0.002918259727429962,0.002465268544629512,-0.003433703923690975,0.002980712740890525,0.0002730190883590297,0.0030133907825026797,-0.004684008748857878,0.005230046925575937,-0.005633226845346223,0.006179265022064282
0,-0.028732624047622654,0.5091544186525736,0.05555323523992142,0.38836125931211957,-0.002274278781342261,1960,no_covid,-0.028732624047622654,0.05555323523992142,-0.1201176960172934,0.06265244792204809,-0.13761696511786864,0.08015171702262333,0.22584458527866413,0.1962600318401677,-0.09700316709841172,0.54869233765574,-0.15882507712806454,0.6105142476853929,0.42950635273969356,0.3480808512460104,-0.1430866475599935,1.0020993530393807,-0.2527321157024868,1.111744821181874
1,0.02284123752674086,0.18365926796902457,0.0630641713570556,0.4452677077007121,-0.0063831334430824145,1959,no_covid,0.02284123752674086,0.0630641713570556,-0.0808993243556156,0.1265817994090973,-0.1007645383330881,0.14644701338656982,0.11467087151125314,0.21716304737715242,-0.24256234142416255,0.47190408444666887,-0.31096870134796556,0.5403104443704718,0.18813457869886296,0.39125534890075514,-0.4554804702428793,0.8317496276406052,-0.5787259051466171,0.9549950625443431
2,-0.0030143090456109297,0.12255663049013592,0.062328503641979505,0.4156050567173823,-0.0028022247901607687,1958,no_covid,-0.0030143090456109297,0.062328503641979505,-0.10554469753666722,0.09951607944544537,-0.12517817618389077,0.1191495580926689,0.05826400619945703,0.2103913219891736,-0.28782971847273353,0.4043577308716476,-0.3541029848993232,0.47063099729823726,0.10728665839551141,0.37249183066329966,-0.5054624030456165,0.7200357198366394,-0.6227973297045559,0.8373706464955788
3,0.028794158101446577,-0.07695205564109006,0.06384664599235175,0.4066505287007168,-0.003339684189543422,1957,no_covid,0.028794158101446577,0.06384664599235175,-0.07623357455597206,0.13382189075886522,-0.09634526804356285,0.153933584246456,-0.009681869719098454,0.20512891833691413,-0.3471189403833222,0.3277552009451253,-0.41173454965945017,0.39237081022125325,-0.04046269197553448,0.36333226003518904,-0.6381442597334204,0.5572188757823515,-0.752593921644505,0.6716685376934359
4,0.0067728547575622855,-0.03330175660254148,0.059071468682358796,0.2326880198602726,-0.0003611770993384748,1956,no_covid,0.0067728547575622855,0.059071468682358796,-0.09039971122491794,0.10394542074004251,-0.10900722385986095,0.12255293337498552,-0.009878023543708453,0.12908985227188105,-0.22223083053095277,0.20247478344353587,-0.26289413399659534,0.2431380869091784,-0.023198726184725044,0.21609194443232327,-0.3786699747758968,0.3322725224064468,-0.4467389372720787,0.40034148490262855
5,0.02042411571232843,0.6315206628110096,0.05875315606387681,0.5102879235248986,-0.006579670205316922,1955,no_covid,0.02042411571232843,0.05875315606387681,-0.07622482601274892,0.11707305743740577,-0.09473207017287011,0.13558030159752696,0.33618444711783324,0.2489391579603087,-0.07332046772687456,0.7456893619625411,-0.15173630248437175,0.8241051967200382,0.5887927122422371,0.4500305284568276,-0.15150750706924443,1.3290929315537185,-0.2932671235331451,1.470852548017619
6,0.08159722819365241,-0.22054241063797156,0.0697494034025798,0.24044663969698424,-0.002392238589098572,1954,no_covid,0.08159722819365241,0.0697494034025798,-0.03314054040359138,0.1963349967908962,-0.05511160247540402,0.21830605886270882,-0.028673977125333372,0.13010145011224925,-0.24269086255998337,0.18534290830931663,-0.2836728193453419,0.22632486509467514,-0.11689094138052199,0.2176896068105025,-0.4749903445837986,0.24120846182275463,-0.5435625707291069,0.3097806879680629
7,-0.0043714176855476,-0.15656059364163122,0.07473430581084145,0.15304465977191092,0.003617911751958677,1953,no_covid,-0.0043714176855476,0.07473430581084145,-0.1273093507443818,0.11856651537328658,-0.15085065707479683,0.14210782170370162,-0.08265171450636322,0.12271428273906033,-0.2845167096121175,0.11921328059939104,-0.3231717086749215,0.15786827966219505,-0.1452759519630157,0.1762663286199635,-0.4352340625428557,0.14468215861682424,-0.4907579560581442,0.20020605213211276
8,0.13758452875136032,-0.1824378399402374,0.08378496540573485,0.2426397129507992,-0.01098032816532753,1952,no_covid,0.13758452875136032,0.08378496540573485,-0.00024173934107352135,0.27541079684379416,-0.026634003443879978,0.3018030609466006,0.046365608781241616,0.10372126029857241,-0.12425586440991,0.21698708197239325,-0.15692806140396032,0.24965927896644352,-0.02660952719485335,0.18693125547680914,-0.33411144245420443,0.2808923880644977,-0.39299478792939924,0.3397757335396926
9,0.0953454658372945,-0.3003453811719694,0.07615311243503538,0.14905777336191373,-0.006351912882607064,1951,no_covid,0.0953454658372945,0.07615311243503538,-0.02992640411833869,0.2206173357929277,-0.053914634535374845,0.24460556620996385,-0.0548272247486902,0.07072438476818999,-0.17116883769236274,0.061514388194982325,-0.19344701889434257,0.08379256939696217,-0.17496537721747799,0.11118728066886002,-0.35786845391775274,0.007937699482796767,-0.39289244732844364,0.04296169289348764
10,0.024066281246496745,0.47284237108479665,0.06353124426774233,0.39991087589397123,-0.004174307015884337,1950,no_covid,0.024066281246496745,0.06353124426774233,-0.08044261557393938,0.12857517806693286,-0.10045495751827821,0.1485875200112717,0.26048746678889506,0.19960984230967677,-0.06787072381052323,0.5888456573883134,-0.1307478241380714,0.6517227577158615,0.4496244152228137,0.35505593979375305,-0.13444260573791011,1.0336914361835374,-0.2462852267729423,1.1455340572185697
11,0.048389948969245145,0.04698899687399135,0.06796789000768551,0.24762577166395644,0.002955836105787163,1949,no_covid,0.048389948969245145,0.06796789000768551,-0.06341723009339752,0.1601971280318878,-0.08482711544581845,0.18160701338430874,0.07188444740624082,0.1513443123342482,-0.17707694638359744,0.3208458411960791,-0.22475040476888564,0.3685192995813673,0.09068004615583736,0.2441477882844146,-0.31094306557202467,0.4923031578836994,-0.3878496188816153,0.56920971119329
12,0.03594036441399437,-0.008477626199689087,0.0645055718679251,0.22193129573989637,-0.0008956789997289705,1948,no_covid,0.03594036441399437,0.0645055718679251,-0.07017130130874243,0.14205203013673118,-0.09049055644713883,0.16237128527512756,0.031701551314149826,0.12481452162900122,-0.1736183367655572,0.23702143939385684,-0.21293491107869256,0.27633801370699224,0.02831050083427419,0.20601961466281618,-0.3105917652860585,0.3672127669546068,-0.3754879439048455,0.43210894557339385
13,0.023206211297323885,-0.08561777129867534,0.05411572695534313,0.40808981441444775,-0.004638475115957219,1947,no_covid,0.023206211297323885,0.05411572695534313,-0.06581415954421557,0.11222658213886333,-0.08286061353514865,0.1292730361297964,-0.019602674352013787,0.19981081288346894,-0.3482914615453202,0.3090861128412926,-0.4112318676036129,0.3720265188995853,-0.05384978287148393,0.3598256063213473,-0.6457629052701002,0.5380633395271324,-0.7591079712613246,0.6514084055183568
14,0.05861384075806798,0.07284442762338318,0.07375682203766151,0.2640619060285918,-0.003534898011347835,1946,no_covid,0.05861384075806798,0.07375682203766151,-0.06271613149388522,0.17994381301002116,-0.0859495304357486,0.20317721195188454,0.09503605456975957,0.13905877656448246,-0.13371563287881405,0.3237877420183332,-0.17751914749662606,0.36759125663614517,0.12417382561911283,0.23570636701452505,-0.2635631481197809,0.5119107993580065,-0.33781065372935626,0.5861583049675819
15,-0.02496842085971663,-0.29494191422852195,0.03976154782285112,0.19539483222536005,-0.0028896996773876476,1945,no_covid,-0.02496842085971663,0.03976154782285112,-0.09037616702830673,0.040439325308873474,-0.10290105459250481,0.05296421287307156,-0.1724393779739776,0.09075277473981377,-0.32172769242097127,-0.023151063526983928,-0.3503148164640126,0.005436060516057384,-0.2904161436653864,0.1652411118301864,-0.562237772626043,-0.01859451470472978,-0.6142887228525518,0.03345643552177896
