horizon,beta,theta,irf_normal,irf_fragile,se_beta,se_theta,pval_beta,pval_theta,nobs
-5,-0.0011530266625444396,0.021854627907436384,-0.0011530266625444396,0.020701601244891944,0.0045159004883377684,0.008220229021978859,0.7984713450638907,0.00784567968898067,2174
-4,-6.120106161307693e-05,0.004929858923796656,-6.120106161307693e-05,0.004868657862183579,0.0032542847884361984,0.005763081944427463,0.9849956266675368,0.39231835209148214,2175
-3,-0.0015494035188011526,0.007370939932034706,-0.0015494035188011526,0.005821536413233554,0.002393579992447753,0.003632927909425019,0.5174272071038482,0.0424658830445979,2176
-2,0.0006026544056985843,0.00501980942813017,0.0006026544056985843,0.005622463833828755,0.0013753708669161293,0.0021251614885750007,0.6612587572237112,0.018172536080472815,2177
-1,-0.0014259672944088178,-0.0038142746994878226,-0.0014259672944088178,-0.00524024199389664,0.0014455824129811004,0.0020975417648819612,0.3239216627903254,0.06899539114433693,2177
0,0.0003787257836718157,-0.000528535052489191,0.0003787257836718157,-0.00014980926881737525,0.0011831804056392369,0.002601359950861506,0.7488991016927913,0.8389971273731511,2178
1,0.0001375935982593441,0.002567202185648268,0.0001375935982593441,0.002704795783907612,0.003697486807203648,0.00878921041185715,0.9703153842530204,0.7702211425593571,2177
2,0.0011959283010692656,-0.0061107187816861475,0.0011959283010692656,-0.004914790480616882,0.004847266911329969,0.011129778542912198,0.8051232332973158,0.5829764475562353,2176
3,0.00031965930304176065,-0.015102622414788783,0.00031965930304176065,-0.014782963111747023,0.005292581683482027,0.014783137218348773,0.9518389593246397,0.3069648309525953,2175
4,-0.005050049364710054,-0.015768762713701236,-0.005050049364710054,-0.02081881207841129,0.006010160029274914,0.01690110308035606,0.40076707277189916,0.35081894373858113,2174
5,-0.00688933926461413,-0.02146274773019276,-0.00688933926461413,-0.02835208699480689,0.0066019879577147505,0.021702897645160518,0.29670522374084907,0.3226951106529028,2173
6,-0.00857989611119167,-0.011861604580553367,-0.00857989611119167,-0.020441500691745038,0.007247745180019477,0.02185504953634249,0.23649140273564973,0.5873089870765198,2172
7,-0.009036656727005215,-0.017909017943811126,-0.009036656727005215,-0.026945674670816343,0.007683653046595001,0.022654460993026416,0.2395594743492021,0.4292186468167912,2171
8,-0.005345387176258,-0.02400127299285519,-0.005345387176258,-0.029346660169113192,0.010162668622708055,0.023177324690420262,0.59890027529937,0.3004122411872612,2170
9,-0.0029781944050141927,-0.019813796011251408,-0.0029781944050141927,-0.0227919904162656,0.010150013197363904,0.02573766763054484,0.7692028318060088,0.44139688425186674,2169
10,-0.004527082600800215,-0.02113621217476494,-0.004527082600800215,-0.025663294775565157,0.010727581772976282,0.025540914615805793,0.6730220854071793,0.4079292035253612,2168
11,-0.004980009505740606,-0.019393170354846112,-0.004980009505740606,-0.024373179860586718,0.012148564976268575,0.026155342942861617,0.6818604217051658,0.4584138862872197,2167
12,-0.006543503563599909,-0.017427050329306765,-0.006543503563599909,-0.023970553892906674,0.015244449693748325,0.028219659052059348,0.6677497228447761,0.5368720151892965,2166
13,-0.006374657285904507,-0.019003738588586772,-0.006374657285904507,-0.02537839587449128,0.016274623348374182,0.029105933202948533,0.6952850063652267,0.5138102317195665,2165
14,-0.008416171518890184,-0.011027803157441132,-0.008416171518890184,-0.019443974676331317,0.018162962146882976,0.029220314863878133,0.6430991883574572,0.7058749345314113,2164
15,-0.008908799705194669,-0.009212714690936805,-0.008908799705194669,-0.018121514396131473,0.018476605426111483,0.028863862310423243,0.6296876903995736,0.749591411312345,2163
