horizon,beta,theta,irf_normal,irf_fragile,se_beta,se_theta,pval_beta,pval_theta,nobs
-5,-0.004909731929509698,-0.019667237779174732,-0.004909731929509698,-0.02457696970868443,0.038302932995457215,0.09634248702935987,0.8980052466870593,0.8382450501783753,2174
-4,0.07431381376921424,-0.19591653391001632,0.07431381376921424,-0.12160272014080208,0.08115604504012716,0.11641784730056157,0.3598292859177552,0.09239954308078878,2175
-3,-0.08165498668134498,0.2842922139612694,-0.08165498668134498,0.20263722727992445,0.02816402804104741,0.11186631106016444,0.003740383645829721,0.011042315892809233,2176
-2,-0.013698193041759258,0.024936668812048063,-0.013698193041759258,0.011238475770288804,0.041986242653219256,0.08265373031016444,0.7442319463653568,0.76288041429289,2177
-1,-0.01567198184965361,-0.050910719144111286,-0.01567198184965361,-0.0665827009937649,0.025475015943719873,0.0992118841093969,0.5384290750075269,0.6078454055486634,2177
0,-0.08056242639974766,0.2298924066394636,-0.08056242639974766,0.14932998023971594,0.028970429076984543,0.08600942124059847,0.005421673157599408,0.007520433300205227,2178
1,-0.020846587436014974,0.12281690068407974,-0.020846587436014974,0.10197031324806477,0.04433002603615817,0.1275427290072517,0.6381700872743037,0.3355740725657018,2177
2,-0.053039875336333114,0.11479937328612484,-0.053039875336333114,0.06175949794979173,0.032125718364176034,0.13646161041858157,0.09873657709882713,0.40020361193896214,2176
3,-0.03668721311410586,0.14019233990761987,-0.03668721311410586,0.10350512679351401,0.037359932159167934,0.12379361302141532,0.32610301652219376,0.25743761312554336,2175
4,-0.08631831384862554,0.22955497177007972,-0.08631831384862554,0.14323665792145418,0.03410602793471116,0.08066024177560112,0.01137762923128009,0.004427922154712625,2174
5,-0.04763236853479842,0.24311442740550113,-0.04763236853479842,0.1954820588707027,0.036586205547104504,0.08249826498621655,0.19294321324213692,0.0032097333269337945,2173
6,-0.0105693294994459,0.18030776773764898,-0.0105693294994459,0.1697384382382031,0.0526951659232741,0.09930221233897904,0.8410309584444706,0.06940907701336484,2172
7,-0.103084446712351,0.19578810594788507,-0.103084446712351,0.09270365923553407,0.03274153025364441,0.12188260990293916,0.0016414950735196244,0.10819347094038455,2171
8,0.06497682114341222,0.11275338649734098,0.06497682114341222,0.1777302076407532,0.11625513138454217,0.14060408226145377,0.5762192363852697,0.4225985743927544,2170
9,0.008459000457824285,0.09402971521798671,0.008459000457824285,0.102488715675811,0.05305682559146572,0.1073162958232811,0.8733278661501116,0.38092548582606,2169
10,-0.062482970573088104,0.24124763172054592,-0.062482970573088104,0.17876466114745782,0.035584506411805904,0.07843177967503677,0.07910483341580953,0.0020987431528087983,2168
11,-0.03946043151138243,0.18375535584478547,-0.03946043151138243,0.14429492433340305,0.036217800315074905,0.10413260424630402,0.27591960571066754,0.07762623107261486,2167
12,-0.044706938130656834,0.15975761124088636,-0.044706938130656834,0.11505067311022953,0.03938567215015361,0.09954317709665407,0.25633063817395874,0.10851411911682737,2166
13,0.05340588205352668,-0.1878447810679202,0.05340588205352668,-0.13443889901439354,0.06585654356804936,0.09583255631422366,0.41739858777653793,0.04997997272915004,2165
14,-0.03359529501984122,0.17345190565621427,-0.03359529501984122,0.13985661063637306,0.03949095722279588,0.0989986434846191,0.39493127161619024,0.07976289680667087,2164
15,-0.018591321061659057,-0.1470828336551252,-0.018591321061659057,-0.16567415471678426,0.05153693382341148,0.07111376183516978,0.7182954508216717,0.03861414756635989,2163
