horizon,beta,theta,nobs,irf_p0,se_irf_p0,ci95lo_irf_p0,ci95hi_irf_p0,irf_p5,se_irf_p5,ci95lo_irf_p5,ci95hi_irf_p5,irf_p9,se_irf_p9,ci95lo_irf_p9,ci95hi_irf_p9
-5,0.0011116725211826807,0.06452172506836977,2174,0.0011116725211826807,0.004951917245108898,-0.008594085279230758,0.01081743032159612,0.033372535055367566,0.0152956762581057,0.0033930095894803974,0.06335206052125474,0.05918122508271548,0.027344594913690724,0.0055858190518816575,0.1127766311135493
-4,-0.002922687204385831,0.05464030578341579,2175,-0.002922687204385831,0.0024207358764624016,-0.007667329522252138,0.0018219551134804764,0.024397465687322064,0.012260290010009474,0.00036729726770349386,0.048427634106940634,0.046253588000688385,0.022374346704096267,0.0023998684606597043,0.09010730754071707
-3,-0.003677093457049377,0.05871013227065014,2176,-0.003677093457049377,0.001844719674389708,-0.007292744018853204,-6.144289524554923e-05,0.025677972678275693,0.007822755327728652,0.010345372235927535,0.04101057312062385,0.04916202558653575,0.014350382790047495,0.02103527531804266,0.07728877585502883
-2,-0.000807817379619674,0.03756870233513495,2177,-0.000807817379619674,0.0011024256613740085,-0.0029685716759127304,0.0013529369166733825,0.0179765337879478,0.004346981908769912,0.009456449246758772,0.02649661832913683,0.03300401472200178,0.008006314582504653,0.017311638140292664,0.0486963913037109
-1,0.000401019888329309,-0.035862601387034405,2177,0.000401019888329309,0.00117949999056706,-0.0019108000931821287,0.0027128398698407466,-0.017530280805187894,0.004283823552567957,-0.025926574968221087,-0.0091339866421547,-0.03187532136000166,0.0078092087108928105,-0.04718137043335156,-0.01656927228665175
0,0.0011373462052271049,-0.01157899845177459,2178,0.0011373462052271049,0.00129040685050357,-0.001391851221759892,0.003666543632214102,-0.00465215302066019,0.004719024329173489,-0.01390144070584023,0.00459713466451985,-0.009283752401370027,0.008527833901497977,-0.025998306848306063,0.0074308020455660095
1,9.487244532780727e-05,0.019358093375841868,2177,9.487244532780727e-05,0.0040203343717754095,-0.007784982923351995,0.007974727814007609,0.009773919133248741,0.026455901947027825,-0.042079648682925797,0.06162748694942327,0.01751715648358549,0.048941441219192285,-0.07840806830603139,0.11344238127320236
2,-0.002693419757810546,0.03305926655680075,2176,-0.002693419757810546,0.004890524028913698,-0.012278846854481393,0.006892007338860301,0.013836213520589828,0.033512716431180437,-0.051848710684523826,0.07952113772570349,0.02705992014331013,0.06237836817271421,-0.09520168147520972,0.14932152176182997
3,-0.0033135576465273906,-0.01786515683821791,2175,-0.0033135576465273906,0.005937029830236954,-0.014950136113791819,0.008323020820737038,-0.012246136065636345,0.044063832700751114,-0.09861124815910853,0.07411897602783583,-0.019392198800923507,0.08213842951855503,-0.18038352065729135,0.14159912305544436
4,-0.009700969787179823,-0.004835474798241128,2174,-0.009700969787179823,0.007130076308219517,-0.023675919351290077,0.004273979776930429,-0.012118707186300388,0.04578678165683388,-0.10186079923369479,0.07762338486109402,-0.014052897105596839,0.0853565123307295,-0.18135166127382665,0.15324586706263296
5,-0.013528254332717562,-0.003922897349607888,2173,-0.013528254332717562,0.00875293615271568,-0.030684009192040295,0.0036275005266051714,-0.015489703007521505,0.04843062049567619,-0.11041371917904683,0.07943431316400382,-0.01705886194736466,0.09009441058046265,-0.19364390668507145,0.1595261827903421
6,-0.012096573592174802,0.00047073487022547544,2172,-0.012096573592174802,0.008742997954301905,-0.029232849582606538,0.0050397023982569344,-0.011861206157062064,0.04726370925978373,-0.10449807630623817,0.08077566399211406,-0.011672912208971873,0.08742713981549932,-0.18303010624735055,0.1596842818294068
7,-0.013501867712152338,-0.016096958554368712,2171,-0.013501867712152338,0.009164426290865384,-0.031464143242248485,0.004460407817943813,-0.021550346989336694,0.047880461264820345,-0.11539605106838458,0.07229535708971119,-0.02798913041108418,0.08869268326401407,-0.20182678960855177,0.14584852878638338
8,-0.011305145783171093,-0.02582731628219797,2170,-0.011305145783171093,0.011055237889330306,-0.03297341204625849,0.010363120479916308,-0.024218803924270078,0.04724617648567329,-0.11682130983618971,0.06838370198764956,-0.03454973043714926,0.08809989439638688,-0.20722552345406756,0.13812606257976903
9,-0.006205876119624306,-0.045317462723117985,2169,-0.006205876119624306,0.011248026916278565,-0.028252008875530293,0.01584025663628168,-0.0288646074811833,0.0542229032357173,-0.1351414978231892,0.0774122828608226,-0.04699159257043049,0.10108550717492486,-0.2451191866332832,0.15113600149242223
10,-0.008107430354704764,-0.04693298889441705,2168,-0.008107430354704764,0.011758014401921797,-0.031153138582471485,0.014938277873061956,-0.03157392480191329,0.05480282694004974,-0.13898746560441078,0.0758396160005842,-0.05034712035968011,0.10242163162322292,-0.25109351834119703,0.1503992776218368
11,-0.007778149007533696,-0.04905006556493016,2167,-0.007778149007533696,0.01236078310043983,-0.03200528388439576,0.016448985869328372,-0.032303181789998775,0.05382328536129395,-0.1377968210981349,0.07319045751813737,-0.05192320801597084,0.10079783685856049,-0.2494869682587494,0.14564055222680772
12,-0.008444308649898917,-0.05198345531375262,2166,-0.008444308649898917,0.014336977921546052,-0.03654478537612918,0.019656168076331346,-0.034436036306775226,0.05330318438008881,-0.1389102776917493,0.07003820507819883,-0.05522941843227627,0.10054579685151843,-0.2522991802612524,0.14184034339669985
13,-0.009040691150531249,-0.04743294989775104,2165,-0.009040691150531249,0.014992116825477285,-0.03842524012846673,0.02034385782740423,-0.03275716609940677,0.05370530992761962,-0.13801957355754121,0.07250524135872768,-0.05173034605850719,0.10151826482378294,-0.2507061451131218,0.1472454529961074
14,-0.009407701757702482,-0.030296803240506542,2164,-0.009407701757702482,0.01588499140037697,-0.04054228490244134,0.021726881387036375,-0.024556103377955753,0.05283466488276983,-0.12811204654818462,0.07899983979227312,-0.03667482467415837,0.10021984385850906,-0.2331057186368361,0.15975606928851938
15,-0.009358398020841496,-0.028297133131546033,2163,-0.009358398020841496,0.01586115821679392,-0.04044626812575758,0.021729472084074587,-0.023506964586614512,0.05227268030900686,-0.12596141799226795,0.07894748881903893,-0.03482581783923293,0.0989746183299436,-0.2288160697659224,0.1591644340874565
