horizon,beta,theta,nobs,irf_p0,se_irf_p0,ci95lo_irf_p0,ci95hi_irf_p0,irf_p5,se_irf_p5,ci95lo_irf_p5,ci95hi_irf_p5,irf_p9,se_irf_p9,ci95lo_irf_p9,ci95hi_irf_p9
-5,0.019396910703618743,-0.511281705798817,2174,0.019396910703618743,0.04235265676313067,-0.06361429655211737,0.10240811795935487,-0.23624394219578979,0.15358950896449738,-0.5372793797662047,0.06479149537462506,-0.4407566245153166,0.28053465690858354,-0.9906045520561403,0.10909130302550707
-4,0.045600605316374145,-0.6487749014883956,2175,0.045600605316374145,0.06066947754416678,-0.07331157067019275,0.16451278130294103,-0.2787868454278236,0.1330333586376301,-0.5395322283575786,-0.018041462498068594,-0.5382968060231819,0.244014290546252,-1.0165648154938358,-0.06002879655252791
-3,0.031048888805801998,-0.2262808695821451,2176,0.031048888805801998,0.09008344723775737,-0.14551466778020242,0.20761244539180643,-0.08209154598527055,0.2253050756910753,-0.5236894943397782,0.35950640236923703,-0.1726038938181286,0.36747542889484963,-0.8928557344520338,0.5476479468157767
-2,-0.0046921689447570756,-0.038284975573264504,2177,-0.0046921689447570756,0.0365683209488621,-0.07636607800452679,0.06698174011501264,-0.023834656731389327,0.22209490163163484,-0.4591406639293936,0.4114713504666149,-0.03914864696069513,0.40822215275119544,-0.8392640663530382,0.760966772431648
-1,1.2652322549711557e-15,3.0757777204826623e-15,2177,1.2652322549711557e-15,4.751163168944711e-16,3.340042738579922e-16,2.1964602360843194e-15,2.803121115212487e-15,1.3507259555439544e-15,1.5569824234633667e-16,5.4505439880786374e-15,4.033432203405552e-15,2.3819722046687493e-15,-6.352333177451966e-16,8.702097724556301e-15
0,-0.027175497523992526,0.38399316131293193,2178,-0.027175497523992526,0.06611807099983873,-0.15676691668367643,0.10241592163569137,0.16482108313247343,0.20622656424323874,-0.23938298278427447,0.5690251490492213,0.31841834765764626,0.3588659929341039,-0.3849589984931973,1.0217956938084898
1,0.02167842390017017,-0.026016654747358356,2177,0.02167842390017017,0.07342679642144619,-0.12223809708586436,0.1655949448862047,0.008670096526490992,0.22544425957514452,-0.4332006522407923,0.45054084529377425,-0.0017365653724523526,0.3980972227785657,-0.7820071220184411,0.7785339912735364
2,-0.00629925732908569,-0.13059347565064336,2176,-0.00629925732908569,0.07103266630386468,-0.14552328328466044,0.13292476862648908,-0.07159599515440737,0.22564457354998768,-0.5138593593123832,0.37066736900356845,-0.12383338541466472,0.3940143852905011,-0.8961015805840469,0.6484348097547175
3,0.0312805611530597,-0.32319319527131196,2175,0.0312805611530597,0.07472209625224012,-0.11517474750133093,0.17773586980745032,-0.13031603648259626,0.2252270705660866,-0.571761094792126,0.31112902182693347,-0.25959331459112106,0.39242095624441614,-1.0287383888301767,0.5095517596479346
4,0.011004688818091222,-0.29969706124706796,2174,0.011004688818091222,0.07157925124766644,-0.129290643627335,0.15130002126351744,-0.13884384180544276,0.16326657791412286,-0.45884633451712353,0.18115865090623803,-0.25872266630426993,0.2685547278085209,-0.7850899328089709,0.26764460020043107
5,0.01861612714943876,0.2644715644795762,2173,0.01861612714943876,0.06531122850997875,-0.10939388073011959,0.1466261350289971,0.15085190938922685,0.26656379447692913,-0.3716131277855542,0.673316946564008,0.25664053518105734,0.4765158906712852,-0.6773306105346616,1.1906116808967764
6,0.08251827443450205,-0.5024716104777993,2172,0.08251827443450205,0.07616043532392225,-0.06675617880038556,0.23179272766938966,-0.1687175308043976,0.15792909859488896,-0.47825856405038,0.14082350244158476,-0.36970617499551733,0.26294674778529736,-0.8850818006547001,0.1456694506636655
7,-0.0011575820062627226,-0.5567117714031793,2171,-0.0011575820062627226,0.08142571285192048,-0.16075197919602685,0.1584368151835014,-0.27951346770785235,0.1662785283916854,-0.6054193833555557,0.04639244793985098,-0.5021981762691241,0.25544488514730146,-1.0028701511578348,-0.0015262013804132613
8,0.1391876121025456,-0.5650288806774549,2170,0.1391876121025456,0.08780414780702633,-0.032908517599226,0.31128374180431717,-0.14332682823618187,0.1435591486181276,-0.42470275952771197,0.13804910305534823,-0.36933838050716383,0.2520458225749098,-0.863348192753987,0.12467143173965939
9,0.08302636074591224,-0.6746768649777471,2169,0.08302636074591224,0.07760983509563789,-0.06908891604153802,0.2351416375333625,-0.25431207174296133,0.12326199802855506,-0.49590558787892924,-0.01271855560699342,-0.5241828177340602,0.2058034591262132,-0.9275575976214381,-0.12080803784668231
10,0.01645990096569512,0.0588264882969861,2168,0.01645990096569512,0.06484916520774178,-0.11064446284147876,0.143564264772869,0.04587314511418817,0.22452449416510797,-0.39419486344942345,0.4859411536777998,0.06940374043298261,0.39575275891253703,-0.70627166703559,0.8450791479015551
11,0.04783284703768463,-0.38293073537989597,2167,0.04783284703768463,0.0722669686265895,-0.0938104114704308,0.18947610554580008,-0.14363252065226334,0.18601725816878134,-0.5082263466630748,0.22096130535854808,-0.2968048148042217,0.3043576476535003,-0.8933458042050824,0.2997361745966389
12,0.0331378941766005,-0.3626807150782971,2166,0.0331378941766005,0.06830800695629802,-0.1007457994577436,0.16702158781094462,-0.14820246336254805,0.1527873842800255,-0.447665736551398,0.1512608098263019,-0.2932747493938669,0.252369622918765,-0.7879192103146464,0.20136971152691258
13,0.012001287243528943,-0.39415398569213805,2165,0.012001287243528943,0.05478718084094798,-0.0953815872047291,0.11938416169178699,-0.18507570560254008,0.21674151093994137,-0.6098890670448252,0.23973765583974502,-0.34273729987939533,0.3873952177238968,-1.102031926618233,0.4165573268594424
14,0.04391556668794838,-0.2796874562058829,2164,0.04391556668794838,0.07255446897077286,-0.09829119249476642,0.18612232587066319,-0.09592816141499308,0.1702299193060207,-0.4295788032547936,0.23772248042480745,-0.20780314389734628,0.2885951066767487,-0.7734495529837737,0.3578432651890812
