horizon,beta,theta,nobs,irf_p0,se_irf_p0,ci95lo_irf_p0,ci95hi_irf_p0,irf_p5,se_irf_p5,ci95lo_irf_p5,ci95hi_irf_p5,irf_p9,se_irf_p9,ci95lo_irf_p9,ci95hi_irf_p9
-5,0.11551250437286598,-8.020514915106238,2174,0.11551250437286598,0.2738517802378926,-0.42123698489340344,0.6522619936391354,-3.894744953180253,1.145475688838163,-6.139877303303052,-1.6496126030574536,-7.1029509192227485,2.115288835967786,-11.24891703771961,-2.9569848007258877
-4,0.4657274697832145,-4.675622313518391,2175,0.4657274697832145,0.34437481009770493,-0.20924715800828714,1.1407020975747162,-1.8720836869759812,1.5933510942104732,-4.995051831628508,1.2508844576765463,-3.742332612383338,2.932210480757869,-9.48946515466876,2.0047999299020853
-3,0.3827253951371193,1.0073037010128278,2176,0.3827253951371193,0.6775912584159142,-0.9453534713580725,1.710804261632311,0.8863772456435333,2.7660274537674896,-4.535036563740746,6.307791055027813,1.2892987260486644,4.867959255703092,-8.251901415129396,10.830498867226726
-2,0.2919242756602126,-4.48791606325527,2177,0.2919242756602126,0.29712047917803186,-0.29043186352872985,0.8742804148491551,-1.9520337559674221,1.0683078707565925,-4.045917182650344,0.14184967071549925,-3.7472001812695304,1.8799562336223945,-7.431914399169424,-0.062485963369637076
-1,0.02622698193698636,-2.755702792955235,2177,0.02622698193698636,0.17015806382123053,-0.30728282315262545,0.35973678702659817,-1.3516244145406313,1.9142453831527477,-5.1035453655200165,2.4002965364387543,-2.4539055317227256,3.5424232568412455,-9.397055115131566,4.489244051686116
0,0.6976907613723156,1.8066777638658447,2178,0.6976907613723156,1.0201913816475838,-1.3018843466569487,2.69726586940158,1.601029643305238,2.3592822670718707,-3.0231636001556286,6.225222886766105,2.323700748851576,3.8139098827633258,-5.151562621364542,9.798964119067694
1,1.2371722396380704,3.5527625633350626,2177,1.2371722396380704,1.1587756662707562,-1.0340280662526116,3.5083725455287524,3.0135535213056017,3.3913277731335847,-3.6334489140362245,9.660555956647428,4.434658546639627,5.900755028548976,-7.1308213093163655,16.000138402595617
2,-0.2891717907054506,2.9076437704813696,2176,-0.2891717907054506,0.36699147541878163,-1.0084750825262625,0.43013150111536136,1.1646500945352343,2.8615467653256146,-4.44398156550297,6.773281754573439,2.327707602727782,5.292550489423383,-8.045691356542047,12.701106561997612
3,0.8847489861226495,-1.6769114388254664,2175,0.8847489861226495,0.873214162750032,-0.8267507728674134,2.5962487451127125,0.04629326670991629,2.4720232451909334,-4.798872293864314,4.891458827284145,-0.6244713088202704,4.299589114581736,-9.051665973400473,7.802723355759932
4,-0.4195372944766866,-4.6511078330816815,2174,-0.4195372944766866,0.29589895422106477,-0.9994992447499735,0.1604246557966003,-2.7450912110175274,1.0849039044594182,-4.871502863757987,-0.6186795582770679,-4.6055343442502,1.9696483903194648,-8.46604518927635,-0.7450234992240494
5,0.2852957576857206,1.2252470245086995,2173,0.2852957576857206,0.613999530905428,-0.9181433228889183,1.4887348382603593,0.8979192699400703,1.907369413580399,-2.840524780677512,4.636363320557653,1.3880180797435502,3.1983803764431293,-4.880807458084983,7.6568436175720835
6,1.4907429748947034,-3.1276013159945766,2172,1.4907429748947034,1.1565992081264738,-0.7761914730331851,3.757677422822592,-0.07305768310258487,2.00113361607966,-3.9952795706187185,3.8491642044135483,-1.3240982095004157,3.050896620315195,-7.303855585318198,4.655659166317367
7,0.02714630049425966,-5.9956706135125275,2171,0.02714630049425966,0.43278731347428206,-0.8211168339153331,0.8754094349038525,-2.970689006262004,1.0240062929432456,-4.977741340430765,-0.9636366720932426,-5.368957251667015,1.765945305466302,-8.830210050380966,-1.9077044529530633
8,0.8368211691162128,-4.774922714379538,2170,0.8368211691162128,0.5580892484605714,-0.2570337578665072,1.9306760960989329,-1.550640188073556,1.2316706634277028,-3.9647146883918536,0.8634343122447412,-3.460609273825371,2.209873627692043,-7.7919615841017755,0.8707430364510333
9,1.3221308663729436,-2.406888279962403,2169,1.3221308663729436,1.1782063094063284,-0.9871535000634601,3.6314152328093474,0.11868672639174216,1.8419357661398517,-3.491507375242367,3.728880828025851,-0.8440685855932193,2.6891112508238613,-6.114726637207987,4.426589466021548
10,-0.04491138059054531,-0.6338418249329333,2168,-0.04491138059054531,0.31771691011813824,-0.6676365244220963,0.5778137632410056,-0.3618322930570119,1.1869002453056592,-2.688156773856104,1.9644921877420802,-0.6153690230301853,2.100899172291592,-4.733131400721706,3.5023933546613355
11,-0.11814116286579926,-3.5353443043205726,2167,-0.11814116286579926,0.2860832101249735,-0.6788642547107473,0.44258192897914883,-1.8858133150260856,1.261199638400712,-4.357764606291481,0.58613797623931,-3.2999510367543143,2.2422739792326714,-7.69480803605035,1.0949059625417217
12,0.33824447881110214,-4.703960369026199,2166,0.33824447881110214,0.3763951781749867,-0.39949007041187173,1.075979028034076,-2.0137357057019973,0.8997670549953704,-3.7772791334929234,-0.25019227791107146,-3.8953198533124773,1.5666368790621303,-6.965928136274252,-0.824711570350702
13,0.2461457749404135,-2.4126134634616574,2165,0.2461457749404135,0.6763965973857784,-1.079591555935712,1.571883105816539,-0.9601609567904152,2.1830448597444105,-5.23892888188946,3.3186069683086297,-1.9252063421750782,3.8612876906389584,-9.493330215827436,5.642917531477281
14,1.1412251586679008,-0.0881229541366092,2164,1.1412251586679008,0.8615291797560197,-0.5473720336538979,2.8298223509896996,1.0971636815995962,1.7577877056306754,-2.3481002214365274,4.54242758463572,1.0619144999449526,2.8616917776915636,-4.547001384330512,6.670830384220418
15,0.08214727257745662,-3.8039948252530493,2163,0.08214727257745662,0.5618489501670578,-1.0190766697499767,1.1833712149048898,-1.819850140049068,1.2693410642412304,-4.307758625961879,0.6680583458637432,-3.341448070150288,2.1785901074223974,-7.611484680698187,0.9285885403976106
