horizon,beta,theta,nobs,irf_p0,se_irf_p0,ci95lo_irf_p0,ci95hi_irf_p0,irf_p5,se_irf_p5,ci95lo_irf_p5,ci95hi_irf_p5,irf_p9,se_irf_p9,ci95lo_irf_p9,ci95hi_irf_p9
-5,0.9056175915588077,-1.1591255908982585,2174,0.9056175915588077,0.707446672294315,-0.4809778861380497,2.292213069255665,0.32605479610967847,1.8304222421979979,-3.2615727985983973,3.913682390817754,-0.137595440249625,3.3930255987807185,-6.787925613859834,6.512734733360583
-4,0.6428210597265087,0.2104123557556269,2175,0.6428210597265087,0.5654541191158252,-0.46546901374050864,1.751111133193526,0.7480272376043222,1.307312362773984,-1.8143049934326865,3.310359468641331,0.8321921799065729,2.4385139627059016,-3.947295186996994,5.61167954681014
-3,-0.021112957345921224,1.8625483998582837,2176,-0.021112957345921224,0.11120125453978347,-0.23906741624389682,0.19684150155205438,0.9101612425832206,0.5686413461608097,-0.20437579589196653,2.0246982810584075,1.655180602526534,1.0367693260517608,-0.37688727653491716,3.6872484815879853
-2,0.03817919171850759,0.7222879556759249,2177,0.03817919171850759,0.09105982409225344,-0.14029806350230914,0.21665644693932432,0.39932316955647,0.49520817372716786,-0.5712848509487789,1.369931190061719,0.68823835182684,0.9142620029948856,-1.1037151740431357,2.4801918776968157
-1,-0.04478794751179748,-0.7395222248687833,2177,-0.04478794751179748,0.09563969639294041,-0.23224175244196069,0.1426658574183657,-0.4145490599461891,0.4688387382887989,-1.333472986992235,0.5043748670998567,-0.7103579498937025,0.8664667403755696,-2.4086327610298186,0.9879168612424138
0,0.22340247474029712,2.799899254774376,2178,0.22340247474029712,0.43241447673994143,-0.624129899669988,1.0709348491505823,1.6233521021274853,0.9687365994303733,-0.27537163275604626,3.522075837011017,2.7433118040372357,1.5693012059737055,-0.332518559671227,5.8191421677456985
1,0.0030604150978974184,9.53251234572155,2177,0.0030604150978974184,0.4041837815170013,-0.7891397966754251,0.79526062687122,4.769316587958672,3.469444769468596,-2.0307951601997765,11.56942833611712,8.582321526247291,6.446766622783854,-4.053341054409062,21.217984106903643
2,-0.2603771824668488,10.53484524716345,2176,-0.2603771824668488,0.45428440986293833,-1.1507746257982079,0.6300202608645102,5.007045441114876,3.74693483751402,-2.336946840412603,12.351037722642355,9.220983539980256,6.986832840783236,-4.473208827954885,22.915175907915398
3,-0.34390289854678824,9.121677409784818,2175,-0.34390289854678824,0.4575046434084099,-1.2406119996272715,0.5528062025336952,4.216935806345621,3.153020036763136,-1.962983465710125,10.396855078401366,7.865606770259547,5.8834399223725535,-3.665935477590657,19.39714901810975
4,-0.4761150784585202,9.253372779057187,2174,-0.4761150784585202,0.49902012703352416,-1.4541945274442276,0.5019643705271871,4.150571311070074,3.0315819532278434,-1.7913293172564995,10.092471939396647,7.851920422692949,5.646946245055262,-3.216094217615364,18.91993506300126
5,-0.5354734219211995,9.497307398220066,2173,-0.5354734219211995,0.5573942143190521,-1.6279660819865418,0.5570192381441427,4.213180277188833,3.3330483237239936,-2.3195944373101947,10.74595499168786,8.01210323647686,6.21198834452523,-4.1633939187925915,20.187600391746308
6,-0.21021713358554095,9.109379734469144,2172,-0.21021713358554095,0.6078850992036007,-1.4016719280245982,0.9812376608535163,4.344472733649031,3.3710755563671015,-2.2628353568304878,10.95178082412855,7.988224627436688,6.207028836043338,-4.177551891208253,20.15400114608163
7,-0.40246981402005333,9.699002586074927,2171,-0.40246981402005333,0.6935102286242887,-1.7617498621236591,0.9568102340835525,4.447031479017411,3.3606921948150603,-2.139925222820107,11.033988180854928,8.326632513447382,6.156236053574845,-3.7395901515593124,20.392855178454077
8,-0.43478559913774867,9.996992880310792,2170,-0.43478559913774867,0.6978328758416221,-1.802538035787328,0.9329668375118305,4.563710841017647,3.2181019372024253,-1.7437689558991067,10.8711906379344,8.562507993141963,5.908175637030868,-3.0175162554385384,20.142532241722463
9,-0.3668748487692654,9.626036819240875,2169,-0.3668748487692654,0.6700558862918362,-1.6801843859012644,0.9464346883627335,4.446143560851172,3.2242390356428885,-1.8733649490088897,10.765652070711234,8.296558288547523,5.93072868813059,-3.327669940188434,19.92078651728348
