horizon,beta,beta_se,theta,theta_se,theta_tstat,theta_pval,cov_bt,nobs,converged,irf_p00,se_irf_p00,ci95lo_irf_p00,ci95hi_irf_p00,irf_p05,se_irf_p05,ci95lo_irf_p05,ci95hi_irf_p05,irf_p09,se_irf_p09,ci95lo_irf_p09,ci95hi_irf_p09
-5,0.0012642642309764118,0.0049027577685454475,0.06417354581609709,0.031004779303288692,2.0697952786037144,0.03859031132519116,-3.0868526430437324e-05,2174,True,0.0012642642309764118,0.0049027577685454475,-0.008345140995372664,0.010873669457325489,0.03335103713902496,0.01528046439798232,0.003401326918979611,0.0633007473590703,0.0590204554654638,0.027333564006093554,0.0054466700135204354,0.11259424091740716
-4,-0.002808062395332425,0.0024123723957289703,0.0543447197612061,0.025535244407428468,2.1282239908930207,0.03343153569305485,-1.830936384492551e-05,2175,True,-0.002808062395332425,0.0024123723957289703,-0.007536312290961206,0.0019201875002963567,0.024364297485270622,0.012268755171879758,0.00031753734838629866,0.048411057622154946,0.04610218538975306,0.022383523812884464,0.0022304787164995135,0.0899738920630066
-3,-0.0038323642400076435,0.0018490959353236402,0.058622428064114634,0.016544138264995872,3.543395680399269,0.00040339807505032144,-1.0630983261862145e-05,2176,True,-0.0038323642400076435,0.0018490959353236402,-0.007456592273241978,-0.0002081362067733088,0.025478849792049674,0.007824020721406187,0.010143769178093547,0.0408139304060058,0.04892782101769553,0.014352256957044493,0.020797397381888322,0.07705824465350274
-2,-0.0009740542223578252,0.0011073824209248695,0.03751106619839023,0.009286310171211886,4.0393940657589456,5.546201799270482e-05,-3.922272885103686e-06,2177,True,-0.0009740542223578252,0.0011073824209248695,-0.003144523767370569,0.001196415322654919,0.01778147887683729,0.004343145414334877,0.009268913864740932,0.02629404388893365,0.03278590535619338,0.00800106277163909,0.017103822323780764,0.04846798838860599
-1,0.0005661068418387116,0.0011760293832914798,-0.035807877793592194,0.008982964912390543,-3.9861981141884497,6.937008530017787e-05,-3.3134839279020972e-06,2177,True,0.0005661068418387116,0.0011760293832914798,-0.0017389107494125888,0.002871124433090012,-0.017337832054957387,0.004271179677416152,-0.025709344222693047,-0.008966319887221729,-0.03166098317239426,0.007796193784155527,-0.046941522989339096,-0.01638044335544943
0,0.0009549450758458567,0.0014302005801674989,-0.012176833915563765,0.00973320679600871,-1.2510608446701361,0.211047703281195,-3.2210867527341664e-06,2178,True,0.0009549450758458567,0.0014302005801674989,-0.001848248061282441,0.003758138212974154,-0.005133471881936026,0.004744282409410807,-0.014432265404381209,0.004165321640509157,-0.010004205448161533,0.008543015996533352,-0.026748516801366903,0.0067401059050438365
1,0.0007312005813455574,0.0039593444362026435,0.017298637554466253,0.05651234086839277,0.30610371626175803,0.7595551783052394,-0.0001162352106728179,2177,True,0.0007312005813455574,0.0039593444362026435,-0.007029114513611624,0.00849151567630274,0.009380519358578684,0.026416895451548142,-0.042396595726455676,0.061157634443613045,0.016299974380365186,0.0489214187467821,-0.07958600636332774,0.1121859551240581
2,-0.0026247118306470876,0.004902175883501524,0.031902599391271436,0.0725045084439677,0.4400084915536821,0.6599750003828732,-0.0002155866253618232,2176,True,-0.0026247118306470876,0.004902175883501524,-0.012232976562310073,0.006983552901015898,0.01332658786498863,0.03350627760892438,-0.05234571624850314,0.0789988919784804,0.026087627621497207,0.06240246338045978,-0.09622120060420396,0.14839645584719838
3,-0.003136855436398896,0.00589845090506129,-0.01925717115035214,0.09554405250339254,-0.20155279837715032,0.8402853453201126,-0.0003760614532077757,2175,True,-0.003136855436398896,0.00589845090506129,-0.014697819210319023,0.008424108337521233,-0.012765441011574966,0.044055609881879974,-0.09911443638005972,0.07358355435690979,-0.020468309471715823,0.08217116612297745,-0.18152379507275163,0.14058717612931998
4,-0.009302251205706281,0.007040944041816498,-0.006534692545528855,0.09951311170005904,-0.06566664868469767,0.947649310871645,-0.0004305675230921704,2174,True,-0.009302251205706281,0.007040944041816498,-0.023102501527666616,0.004497999116254054,-0.01256959747847071,0.0457681354215455,-0.10227514290469988,0.07713594794775847,-0.01518347449668225,0.08541586190877613,-0.18259856383788348,0.15223161484451897
