horizon,beta,beta_se,theta,theta_se,theta_tstat,theta_pval,cov_bt,nobs,converged,irf_p00,se_irf_p00,ci95lo_irf_p00,ci95hi_irf_p00,irf_p05,se_irf_p05,ci95lo_irf_p05,ci95hi_irf_p05,irf_p09,se_irf_p09,ci95lo_irf_p09,ci95hi_irf_p09
-5,0.01763386619684978,0.041920270409091076,-0.5089621445428313,0.32331151009917297,-1.574215976371245,0.11558417899754024,-0.004328957321269669,2174,True,0.01763386619684978,0.041920270409091076,-0.06452986380496872,0.09979759619866829,-0.23684720607456586,0.1534957161960996,-0.537698809818921,0.06400439766978935,-0.4404320638916984,0.2804188924958482,-0.9900530931835609,0.1091889654001641
-4,0.04309338601881775,0.06009866929167749,-0.6455413004625208,0.2914892868674046,-2.2146313073803316,0.026889499221044673,-0.007117148347152771,2175,True,0.04309338601881775,0.06009866929167749,-0.07470000579287013,0.16088677783050565,-0.27967726421244266,0.13317733588375566,-0.5407048425446037,-0.01864968588028154,-0.537893784397451,0.24417912801079986,-1.0164848752986186,-0.059302693496283254
-3,0.028494271895732524,0.08939473190855854,-0.22309638183609648,0.3738956183700284,-0.5966809207571606,0.5507829926994755,0.00796992802363067,2176,True,0.028494271895732524,0.08939473190855854,-0.1467194026450422,0.20370794643650728,-0.08305391902231571,0.2256342825807067,-0.5252971128805008,0.3591892748358694,-0.1722924717567543,0.3682032246178,-0.8939707920076423,0.5493858484941336
-2,-0.006800319293783923,0.03625791884950372,-0.035587005505208824,0.4681395273492617,-0.07601794641591687,0.939411860208027,-0.006769210469595648,2177,True,-0.006800319293783923,0.03625791884950372,-0.07786584023881121,0.06426520165124336,-0.024593822046388335,0.22211276522613255,-0.4599348418896081,0.41074719779683144,-0.03882862424847186,0.4082221180413,-0.8389439756094198,0.761286727112476
-1,1.1035976487752454e-15,3.5759453764532763e-16,-2.6542928315952683e-15,1.1758451981328314e-15,-2.2573488719519537,0.02408577821394612,-7.053523867590974e-32,2177,True,1.1035976487752454e-15,3.5759453764532763e-16,4.0271235499040327e-16,1.8044829425600875e-15,-2.235487670223888e-16,6.348161916420179e-16,-1.4677885026407438e-15,1.0206909685959663e-15,-1.285265899660496e-15,1.0586907419140344e-15,-3.3602997538120033e-15,7.8976795449101135e-16
0,-0.02697677596740383,0.06548128326317777,0.38174237117585613,0.3934466754834338,0.9702518662962486,0.33202954419154584,-0.0005953565388629291,2178,True,-0.02697677596740383,0.06548128326317777,-0.15532009116323225,0.10136653922842459,0.16389440962052423,0.2058944232638932,-0.23965865997670646,0.567447479217755,0.3165913580908667,0.35861454057455916,-0.38629314143526927,1.0194758576170027
1,0.025860055532980226,0.07233106118515709,-0.036059075108276745,0.44546256699313,-0.08094748645587733,0.9354912143670199,-0.004414918557138883,2177,True,0.025860055532980226,0.07233106118515709,-0.11590882438992765,0.1676289354558881,0.007830517978841853,0.22455753940373338,-0.43230225925247556,0.4479632952101593,-0.006593112064468849,0.3975158070680072,-0.785724093917763,0.7725378697888252
2,-0.004504017262302015,0.07005800362110765,-0.13614600429828952,0.433657962755201,-0.31394789440346016,0.7535909440538323,-0.001317230241546675,2176,True,-0.004504017262302015,0.07005800362110765,-0.141817704359673,0.13280966983506898,-0.07257701941144677,0.22495710878982306,-0.5134929526394999,0.3683389138166064,-0.12703542113076258,0.3935290137359558,-0.898352288053236,0.6442814457917108
3,0.03257706456086656,0.0738023095918677,-0.32817509707219267,0.4324835204357644,-0.7588152647794024,0.4480459419049101,-0.0017270630562296106,2175,True,0.03257706456086656,0.0738023095918677,-0.11207546223919412,0.17722959136092725,-0.13151048397522977,0.22467802898145678,-0.5718794207788851,0.3088584528284255,-0.26278052280410685,0.3922270818201817,-1.031545603171663,0.5059845575634492
4,0.013883429715317223,0.07038393400668345,-0.3074655293912396,0.2814474787690456,-1.0924437153815982,0.2747601143131617,0.001570647799221493,2174,True,0.013883429715317223,0.07038393400668345,-0.12406908093778235,0.1518359403684168,-0.13984933498030258,0.1622581794297032,-0.4578753666625208,0.1781766967019157,-0.2628355467367985,0.2682225525235942,-0.7885517496830432,0.2628806562094462
