horizon,beta,beta_se,theta,theta_se,theta_tstat,theta_pval,cov_bt,nobs,converged,irf_p00,se_irf_p00,ci95lo_irf_p00,ci95hi_irf_p00,irf_p05,se_irf_p05,ci95lo_irf_p05,ci95hi_irf_p05,irf_p09,se_irf_p09,ci95lo_irf_p09,ci95hi_irf_p09
-5,0.08737179774528894,0.27310734582244317,-7.991072545567246,2.4534953387139224,-3.2570155807819963,0.001143363044738306,-0.2690434128272594,2174,True,0.08737179774528894,0.27310734582244317,-0.4479186000666997,0.6226621955572775,-3.908164475038334,1.1447506513593502,-6.1518757517026605,-1.6644531983740078,-7.1045934932652335,2.1133427016687993,-11.24674518853608,-2.962441797994387
-4,0.42943481292726066,0.3439469093969506,-4.645035193019544,3.385133771449816,-1.3721865978224328,0.17014796814851016,-0.43825277892267633,2175,True,0.42943481292726066,0.3439469093969506,-0.24470112949076256,1.1035707553452838,-1.8930827835825115,1.5952521306093128,-5.019776959576765,1.2336113924117416,-3.7510968607903297,2.934508528087292,-9.502733575841422,2.000539854260762
-3,0.3414021220556171,0.6762787416177081,1.04647771535079,5.34880637420911,0.19564696160936007,0.8449049114357075,0.07366421382255145,2176,True,0.3414021220556171,0.6762787416177081,-0.9841042115150906,1.666908455626325,0.8646409797310122,2.771903598140019,-4.568290072623425,6.29757203208545,1.283232065871328,4.874815844783927,-8.271406989905168,10.837871121647824
-2,0.24850681127290117,0.2939261120672482,-4.445980468487454,2.070394182181968,-2.1474077288035454,0.03187181536072124,-0.01974717937515258,2177,True,0.24850681127290117,0.2939261120672482,-0.32758836837890526,0.8246019909247077,-1.9744834229708257,1.0669013062992523,-4.06560998331736,0.11664313737570886,-3.752875610365807,1.8769492835093267,-7.431696206044087,-0.07405501468752718
-1,0.058617130453938855,0.17515153760902863,-2.7589405589650022,4.07407486807499,-0.6771943688576857,0.49835515952752285,-0.5146381688682016,2177,True,0.058617130453938855,0.17515153760902863,-0.28467988325975724,0.40191414416763493,-1.3208531490285622,1.9145655903960739,-5.073401706204867,2.4316954081477427,-2.4244293726145636,3.5424255873645456,-9.367583523849072,4.518724778619946
0,0.6861180582952832,1.0128839786512733,1.7675280491303538,3.857820245208032,0.45816754975193,0.6468781387373345,0.8086862571773547,2178,True,0.6861180582952832,1.0128839786512733,-1.2991345398612126,2.6713706564517787,1.56988208286046,2.3569714619549442,-3.0497819825712305,6.18954614829215,2.2768933025126015,3.812691781804636,-5.195982589824485,9.749769194849689
1,1.3314135606192619,1.1409792031809443,3.335594703981263,6.499317921552028,0.5132222710509794,0.6078483349304227,-0.5073335791566153,2177,True,1.3314135606192619,1.1409792031809443,-0.9049056776153888,3.5677327988539123,2.999210912609893,3.3696859385240416,-3.6053735268972282,9.603795352117015,4.333448794202399,5.882512319612215,-7.196275352237542,15.86317294064234
2,-0.29416738897278105,0.36775315439725104,2.869939272954909,6.096307969303622,0.4707667800586427,0.6378548468760674,-1.2494221369758183,2176,True,-0.29416738897278105,0.36775315439725104,-1.0149635715913932,0.42662879364583095,1.1408022475046735,2.8595564270952973,-4.463928349602109,6.745532844611456,2.288777956686637,5.290549019700553,-8.080698121926446,12.65825403529972
3,0.9144435918181771,0.8590851877877442,-1.761496921794009,4.750269325120068,-0.37082043169194107,0.7108076788025273,-0.30762859942241627,2175,True,0.9144435918181771,0.8590851877877442,-0.7693633762458015,2.598250559882156,0.0336951309211726,2.4640745576682646,-4.795891002108626,4.863281263950971,-0.6709036377964311,4.296742184081919,-9.092518318596992,7.75071104300413
4,-0.327135712606283,0.2776090413779452,-4.840016093555486,2.2896364490720296,-2.1138797364608273,0.034640042809412894,-0.20706389512638346,2174,True,-0.327135712606283,0.2776090413779452,-0.8712494337070555,0.2169780084944895,-2.747143759384026,1.0865595482798867,-4.8768004740126045,-0.6174870447554484,-4.683150196806221,1.9876428689409529,-8.578930219930488,-0.787370173681953
