horizon,beta,beta_se,theta,theta_se,theta_tstat,theta_pval,cov_bt,nobs,converged,irf_p00,se_irf_p00,ci95lo_irf_p00,ci95hi_irf_p00,irf_p05,se_irf_p05,ci95lo_irf_p05,ci95hi_irf_p05,irf_p09,se_irf_p09,ci95lo_irf_p09,ci95hi_irf_p09
-5,0.9770604135303065,0.7068399279438149,-1.2604035585611586,4.036917155680939,-0.3122193272625027,0.7549040228312495,-1.2007114578331721,2174,True,0.9770604135303065,0.7068399279438149,-0.40834584523957074,2.362466672300184,0.3468586342497272,1.8365963781844434,-3.252870266991782,3.9465875354912363,-0.15730278917473628,3.396861663111862,-6.815151648873986,6.500546070524514
-4,0.7131104072564549,0.5673277602870627,0.10596745792633333,2.9434049175134556,0.036001658248180496,0.9712843664367241,-0.7688112161650011,2175,True,0.7131104072564549,0.5673277602870627,-0.39885200290618794,1.8250728174190978,0.7660941362196216,1.3110902709340542,-1.8036427948111244,3.3358310672503677,0.8084811193901549,2.440398108984202,-3.9746991742188813,5.5916614129991915
-3,-0.008310802186558774,0.11207068876082546,1.807661758549557,1.1838096306597943,1.526986866580955,0.1269107545259697,-0.0375653719084341,2176,True,-0.008310802186558774,0.11207068876082546,-0.22796935215777667,0.21134774778465912,0.8955200770882197,0.5703908991048255,-0.2224460851572383,2.0134862393336777,1.6185847805080424,1.039269173782652,-0.4183828001059555,3.6555523611220404
-2,0.06901339690783927,0.09837188180670563,0.6639815941932026,1.0589466709030073,0.6270208051430939,0.5307118648572979,-0.044597943350124576,2177,True,0.06901339690783927,0.09837188180670563,-0.12379549143330375,0.26182228524898227,0.40100419400444054,0.49539993614675454,-0.5699796808431984,1.3719880688520796,0.6665968316817216,0.9152643613029974,-1.1273213164721532,2.4605149798355965
-1,-0.0739947867898054,0.10310986621811957,-0.6832399330315307,1.007403149471067,-0.6782189765738406,0.497705510067854,-0.043724430755855026,2177,True,-0.0739947867898054,0.10310986621811957,-0.27609012457731974,0.12810055099770895,-0.41561475330557074,0.46970468397357895,-1.3362359338937855,0.505006427282644,-0.6889107265181831,0.8683116748368651,-2.390801609198439,1.0129801561620726
0,0.26976910896443,0.42073111092765814,2.6960380422236154,1.5890701337053976,1.696613626446422,0.08991374619792895,0.09863361565372747,2178,True,0.26976910896443,0.42073111092765814,-0.5548638684537799,1.09440208638264,1.6177881300762378,0.9523309591810882,-0.24878054991869503,3.4843568100711706,2.696203346965684,1.5491680756603101,-0.3401660813285239,5.732572775259891
1,0.08494587735236248,0.395286572456358,9.347261691362778,7.458423057563904,1.2532490607224704,0.21025072148675492,-2.054978735829663,2177,True,0.08494587735236248,0.395286572456358,-0.6898158046620992,0.8597075593668242,4.758576723033752,3.465298163929744,-2.0334076782685466,11.550561124336049,8.497481399578863,6.443293420247724,-4.131373704106677,21.126336503264405
2,-0.18544228742325686,0.4436163446014669,10.365804675002494,8.117199432814585,1.2770173704366186,0.20173343556187284,-2.653316135471591,2176,True,-0.18544228742325686,0.4436163446014669,-1.054930322842132,0.6840457479956183,4.99746005007799,3.743756266605417,-2.340302232468628,12.335222332624607,9.143781920078988,6.98504523888986,-4.546906748145139,22.834470588303112
3,-0.2710610261669246,0.44546166373116136,8.95345089677099,6.852960224808179,1.3065085164742227,0.19151890682824715,-2.0267876862153686,2175,True,-0.2710610261669246,0.44546166373116136,-1.1441658870800009,0.6020438347461516,4.20566442221857,3.1483986990753743,-1.9651970279691637,10.376525872406305,7.787044780926967,5.88135188297188,-3.740404909697917,19.314494471551853
4,-0.39225734180701666,0.4824443950220692,9.060007246466661,6.578704676309705,1.3771719042340158,0.16860200045245244,-1.9055637113898638,2174,True,-0.39225734180701666,0.4824443950220692,-1.3378483560502723,0.553333672436239,4.137746281426314,3.0244053444310577,-1.7900881936585584,10.065580756511187,7.76174918001298,5.644379119127877,-3.301233893477659,18.82473225350362
